relative_path,exercise,person,session,analyzer,rep_index,start_s,end_s,center_s,duration_s,boundary_start_s,set_index,synthetic
bench\Chandler\bench-press-chandler-2026-april-11-2026-04-12_00-11-36,bench,Chandler,bench-press-chandler-2026-april-11-2026-04-12_00-11-36,plot_multi_accel_updated,1,4.646273136138916,11.374354839324951,8.010313987731934,6.728081703186035,4.646273136138916,,False
bench\Chandler\bench-press-chandler-2026-april-11-2026-04-12_00-11-36,bench,Chandler,bench-press-chandler-2026-april-11-2026-04-12_00-11-36,plot_multi_accel_updated,2,11.374354839324951,24.528850078582764,17.951602458953857,13.154495239257812,11.374354839324951,,False
bench\Chandler\bench-press-chandler-2026-april-11-2026-04-12_00-11-36,bench,Chandler,bench-press-chandler-2026-april-11-2026-04-12_00-11-36,plot_multi_accel_updated,3,24.528850078582764,32.86601948738098,28.697434782981873,8.337169408798218,24.528850078582764,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,1,2.4447970390319824,7.998408079147339,5.221602559089661,5.5536110401153564,2.4447970390319824,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,2,10.453263282775879,16.157772541046143,13.30551791191101,5.704509258270264,10.453263282775879,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,3,16.157772541046143,20.624791383743286,18.391281962394714,4.4670188426971436,16.157772541046143,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,4,20.624791383743286,26.248815536499023,23.436803460121155,5.624024152755737,20.624791383743286,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,5,40.36422681808472,45.424829721450806,42.89452826976776,5.060602903366089,40.36422681808472,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,6,49.52964425086975,54.016764402389526,51.77320432662964,4.487120151519775,49.52964425086975,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,7,54.016764402389526,59.58038520812988,56.798574805259705,5.5636208057403564,54.016764402389526,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,8,59.58038520812988,64.36931920051575,61.974852204322815,4.788933992385864,59.58038520812988,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,9,64.36931920051575,68.96709299087524,66.6682060956955,4.597773790359497,64.36931920051575,,False
bench\Oliver\bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,bench,Oliver,bench_set_1x10_reps_close_to_failure_-2026-04-12_18-06-55,plot_multi_accel_updated,10,68.96709299087524,73.38377141952515,71.1754322052002,4.416678428649902,68.96709299087524,,False
bench\Oliver\bench_set_1x8_reps_failure-2026-04-12_18-18-07,bench,Oliver,bench_set_1x8_reps_failure-2026-04-12_18-18-07,plot_multi_accel_updated,1,4.034531116485596,13.089608192443848,8.562069654464722,9.055077075958252,4.034531116485596,,False
bench\Oliver\bench_set_1x8_reps_failure-2026-04-12_18-18-07,bench,Oliver,bench_set_1x8_reps_failure-2026-04-12_18-18-07,plot_multi_accel_updated,2,13.089608192443848,24.49901556968689,18.79431188106537,11.409407377243042,13.089608192443848,,False
bench\Oliver\bench_set_1x8_reps_failure-2026-04-12_18-18-07,bench,Oliver,bench_set_1x8_reps_failure-2026-04-12_18-18-07,plot_multi_accel_updated,3,24.49901556968689,31.7531476020813,28.126081585884094,7.254132032394409,24.49901556968689,,False
bench\Oliver\bench_set_1x8_reps_failure-2026-04-12_18-18-07,bench,Oliver,bench_set_1x8_reps_failure-2026-04-12_18-18-07,plot_multi_accel_updated,4,46.251333236694336,56.43325138092041,51.34229230880737,10.181918144226074,46.251333236694336,,False
bench\Oliver\bench_set_1x8_reps_failure-2026-04-12_18-18-07,bench,Oliver,bench_set_1x8_reps_failure-2026-04-12_18-18-07,plot_multi_accel_updated,5,56.43325138092041,64.14011549949646,60.286683440208435,7.70686411857605,56.43325138092041,,False
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,plot_multi_accel_updated,1,5.541173934936523,13.210482120513916,9.37582802772522,7.669308185577393,5.541173934936523,,False
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,plot_multi_accel_updated,2,15.549415826797485,20.38794255256653,17.968679189682007,4.838526725769043,15.549415826797485,,False
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,plot_multi_accel_updated,3,20.38794255256653,25.106024026870728,22.746983289718628,4.718081474304199,20.38794255256653,,False
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,plot_multi_accel_updated,4,25.106024026870728,29.432576417922974,27.26930022239685,4.326552391052246,25.106024026870728,,False
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,plot_multi_accel_updated,5,29.432576417922974,34.51197528839111,31.972275853157043,5.07939887046814,29.432576417922974,,False
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,plot_multi_accel_updated,6,34.51197528839111,39.24001383781433,36.87599456310272,4.728038549423218,34.51197528839111,,False
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,plot_multi_accel_updated,7,42.291630029678345,46.82890272140503,44.56026637554169,4.537272691726685,42.291630029678345,,False
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,plot_multi_accel_updated,8,46.82890272140503,50.88433289527893,48.85661780834198,4.055430173873901,46.82890272140503,,False
bench\Spencer\bench_press_5_x105-2026-04-18_23-19-41-1,bench,Spencer,bench_press_5_x105-2026-04-18_23-19-41-1,plot_multi_accel_updated,1,1.8072302341461182,5.23092246055603,3.519076347351074,3.423692226409912,1.8072302341461182,,False
bench\Spencer\bench_press_5_x105-2026-04-18_23-19-41-1,bench,Spencer,bench_press_5_x105-2026-04-18_23-19-41-1,plot_multi_accel_updated,2,5.23092246055603,28.784789562225342,17.007856011390686,23.55386710166931,5.23092246055603,,False
bench\Spencer\bench_press_5_x105-2026-04-18_23-19-41-1,bench,Spencer,bench_press_5_x105-2026-04-18_23-19-41-1,plot_multi_accel_updated,3,28.784789562225342,32.82084345817566,30.8028165102005,4.036053895950317,28.784789562225342,,False
bench\Spencer\bench_press_5_x105-2026-04-18_23-19-41-1,bench,Spencer,bench_press_5_x105-2026-04-18_23-19-41-1,plot_multi_accel_updated,4,32.82084345817566,37.8608922958374,35.34086787700653,5.040048837661743,32.82084345817566,,False
bench\Spencer\bench_press_5_x105-2026-04-18_23-19-41-1,bench,Spencer,bench_press_5_x105-2026-04-18_23-19-41-1,plot_multi_accel_updated,5,37.8608922958374,41.866822481155396,39.8638573884964,4.005930185317993,37.8608922958374,,False
bench\Spencer\bench_press_5_x105-2026-04-18_23-19-41-1,bench,Spencer,bench_press_5_x105-2026-04-18_23-19-41-1,plot_multi_accel_updated,6,41.866822481155396,45.53138828277588,43.69910538196564,3.6645658016204834,41.866822481155396,,False
bench\Spencer\bench_press_5_x105-2026-04-18_23-19-41-1,bench,Spencer,bench_press_5_x105-2026-04-18_23-19-41-1,plot_multi_accel_updated,7,45.53138828277588,49.818432092666626,47.67491018772125,4.287043809890747,45.53138828277588,,False
bench\Spencer\bench_press_5_x105-2026-04-18_23-19-41-1,bench,Spencer,bench_press_5_x105-2026-04-18_23-19-41-1,plot_multi_accel_updated,8,49.818432092666626,54.16571545600891,51.99207377433777,4.347283363342285,49.818432092666626,,False
