time,seconds_elapsed,activity,local_time
1775952935146000100,0.070000244140625,unknown,2026-04-11T19:15:35.146-05:00
1775952937187000000,2.111,unknown,2026-04-11T19:15:37.187-05:00
1775952942025000000,6.949,unknown,2026-04-11T19:15:42.025-05:00
1775952947173999900,12.097999755859375,unknown,2026-04-11T19:15:47.173-05:00
1775952952324000000,17.248,unknown,2026-04-11T19:15:52.324-05:00
1775952954899000000,19.823,unknown,2026-04-11T19:15:54.899-05:00
1775952957474000100,22.398000244140626,walking,2026-04-11T19:15:57.474-05:00
1775952960047000000,24.971,walking,2026-04-11T19:16:00.047-05:00
1775952962621000000,27.545,walking,2026-04-11T19:16:02.621-05:00
1775952967772000000,32.696,walking,2026-04-11T19:16:07.772-05:00
1775952983217000000,48.141,walking,2026-04-11T19:16:23.217-05:00
1775952990943000000,55.867,walking,2026-04-11T19:16:30.943-05:00
1775952996091000000,61.015,walking,2026-04-11T19:16:36.091-05:00
1775952998665000000,63.589,walking,2026-04-11T19:16:38.665-05:00
1775953003813000000,68.737,walking,2026-04-11T19:16:43.813-05:00
1775953006388000000,71.312,walking,2026-04-11T19:16:46.388-05:00
