time,seconds_elapsed,z,y,x,local_time
1775952935156857300,0.080857421875,-42.30719757080078,-15.88830852508545,-17.323387145996094,2026-04-11T19:15:35.156-05:00
1775952935166914300,0.090914306640625,-42.14361572265625,-15.972376823425293,-17.317359924316406,2026-04-11T19:15:35.166-05:00
1775952935176971300,0.10097119140625,-42.27274703979492,-16.124820709228516,-17.303924560546875,2026-04-11T19:15:35.176-05:00
1775952935187027200,0.111027099609375,-42.15920639038086,-16.286333084106445,-17.38867950439453,2026-04-11T19:15:35.187-05:00
1775952935197084200,0.121084228515625,-42.03836441040039,-16.585575103759766,-17.638153076171875,2026-04-11T19:15:35.197-05:00
1775952935207141400,0.131141357421875,-41.93852996826172,-16.66614532470703,-17.813270568847656,2026-04-11T19:15:35.207-05:00
1775952935217197300,0.141197265625,-41.459877014160156,-16.847270965576172,-18.17015838623047,2026-04-11T19:15:35.217-05:00
1775952935227254500,0.151254638671875,-41.28361511230469,-17.247825622558594,-18.510772705078125,2026-04-11T19:15:35.227-05:00
1775952935237311500,0.1613115234375,-41.01982116699219,-17.812942504882812,-18.585464477539062,2026-04-11T19:15:35.237-05:00
1775952935247367400,0.171367431640625,-40.76500701904297,-18.67234992980957,-18.657928466796875,2026-04-11T19:15:35.247-05:00
1775952935257424400,0.18142431640625,-40.611839294433594,-19.394737243652344,-18.627304077148438,2026-04-11T19:15:35.257-05:00
1775952935267480300,0.191480224609375,-39.99018859863281,-20.143224716186523,-18.594390869140625,2026-04-11T19:15:35.267-05:00
1775952935277537300,0.201537353515625,-39.640777587890625,-20.938905715942383,-18.412559509277344,2026-04-11T19:15:35.277-05:00
1775952935287594500,0.211594482421875,-39.508697509765625,-21.789798736572266,-18.04620361328125,2026-04-11T19:15:35.287-05:00
1775952935297650400,0.221650390625,-39.27314758300781,-22.165695190429688,-17.933090209960938,2026-04-11T19:15:35.297-05:00
1775952935307707400,0.231707275390625,-39.2498779296875,-22.30825424194336,-17.829185485839844,2026-04-11T19:15:35.307-05:00
1775952935317764400,0.241764404296875,-39.31932067871094,-22.34170150756836,-17.595550537109375,2026-04-11T19:15:35.317-05:00
1775952935327820300,0.2518203125,-39.2112922668457,-22.278684616088867,-17.51190948486328,2026-04-11T19:15:35.327-05:00
1775952935337877200,0.261877197265625,-39.786155700683594,-22.07788848876953,-17.076492309570312,2026-04-11T19:15:35.337-05:00
1775952935347933400,0.271933349609375,-39.95783996582031,-21.58077049255371,-16.736366271972656,2026-04-11T19:15:35.347-05:00
1775952935357990400,0.281990478515625,-40.226348876953125,-21.077911376953125,-16.530433654785156,2026-04-11T19:15:35.357-05:00
1775952935368047400,0.29204736328125,-40.780906677246094,-20.678287506103516,-16.295005798339844,2026-04-11T19:15:35.368-05:00
1775952935378103300,0.302103271484375,-40.943763732910156,-20.208078384399414,-16.392898559570312,2026-04-11T19:15:35.378-05:00
1775952935388160300,0.31216015625,-41.0549201965332,-19.83184051513672,-16.773902893066406,2026-04-11T19:15:35.388-05:00
1775952935398217200,0.32221728515625,-41.135887145996094,-19.49614715576172,-17.076675415039062,2026-04-11T19:15:35.398-05:00
1775952935408273200,0.332273193359375,-41.13496398925781,-19.504432678222656,-17.07318878173828,2026-04-11T19:15:35.408-05:00
1775952935418330400,0.342330322265625,-40.92323684692383,-19.35637664794922,-17.48785400390625,2026-04-11T19:15:35.418-05:00
1775952935428387300,0.35238720703125,-40.827980041503906,-19.210752487182617,-17.888214111328125,2026-04-11T19:15:35.428-05:00
1775952935438443300,0.362443359375,-40.577880859375,-19.11434555053711,-18.13311004638672,2026-04-11T19:15:35.438-05:00
1775952935448500500,0.37250048828125,-40.429908752441406,-18.930870056152344,-18.58026885986328,2026-04-11T19:15:35.448-05:00
1775952935458556200,0.38255615234375,-40.30653381347656,-18.901103973388672,-19.116249084472656,2026-04-11T19:15:35.458-05:00
1775952935468613400,0.39261328125,-39.85511779785156,-18.71733283996582,-19.899803161621094,2026-04-11T19:15:35.468-05:00
1775952935478670300,0.40267041015625,-39.67784881591797,-18.56126594543457,-20.801536560058594,2026-04-11T19:15:35.478-05:00
1775952935488726500,0.4127265625,-39.22601318359375,-18.29962921142578,-21.886322021484375,2026-04-11T19:15:35.488-05:00
1775952935498783500,0.422783447265625,-38.57034683227539,-18.01754379272461,-22.858413696289062,2026-04-11T19:15:35.498-05:00
1775952935508840400,0.43284033203125,-38.249507904052734,-18.18613624572754,-23.591018676757812,2026-04-11T19:15:35.508-05:00
1775952935518896400,0.442896484375,-37.836097717285156,-18.252836227416992,-24.046035766601562,2026-04-11T19:15:35.518-05:00
1775952935528953300,0.452953369140625,-37.59248733520508,-18.440031051635742,-24.30583953857422,2026-04-11T19:15:35.528-05:00
1775952935539010300,0.46301025390625,-37.53964614868164,-18.431163787841797,-24.55182647705078,2026-04-11T19:15:35.539-05:00
1775952935549066200,0.473066162109375,-37.32771301269531,-18.205135345458984,-24.71086883544922,2026-04-11T19:15:35.549-05:00
1775952935559123500,0.48312353515625,-37.245357513427734,-17.963245391845703,-24.85113525390625,2026-04-11T19:15:35.559-05:00
1775952935569179400,0.493179443359375,-37.711631774902344,-17.488916397094727,-24.937515258789062,2026-04-11T19:15:35.569-05:00
1775952935579236400,0.503236328125,-37.49241638183594,-17.068628311157227,-24.939315795898438,2026-04-11T19:15:35.579-05:00
1775952935589293300,0.513293212890625,-38.10887145996094,-16.61088752746582,-24.9613037109375,2026-04-11T19:15:35.589-05:00
1775952935599349200,0.523349365234375,-38.06276321411133,-16.157167434692383,-25.00322723388672,2026-04-11T19:15:35.599-05:00
1775952935609406200,0.53340625,-38.57291793823242,-16.02472686767578,-24.77906036376953,2026-04-11T19:15:35.609-05:00
1775952935619463200,0.543463134765625,-38.777320861816406,-15.684562683105469,-24.76654815673828,2026-04-11T19:15:35.619-05:00
1775952935629519400,0.553519287109375,-38.37086868286133,-15.90587329864502,-25.142990112304688,2026-04-11T19:15:35.629-05:00
1775952935639576300,0.563576416015625,-37.910919189453125,-16.254980087280273,-25.398841857910156,2026-04-11T19:15:35.639-05:00
1775952935649633300,0.57363330078125,-37.463592529296875,-16.82205581665039,-25.958877563476562,2026-04-11T19:15:35.649-05:00
1775952935659689200,0.583689208984375,-36.463687896728516,-17.49295425415039,-26.55614471435547,2026-04-11T19:15:35.659-05:00
1775952935669746400,0.593746337890625,-35.9047737121582,-18.16515350341797,-27.027549743652344,2026-04-11T19:15:35.669-05:00
1775952935679802000,0.603802001953125,-35.70844268798828,-18.44729995727539,-27.32233428955078,2026-04-11T19:15:35.679-05:00
1775952935689859300,0.613859375,-35.70844268798828,-18.44729995727539,-27.32233428955078,2026-04-11T19:15:35.689-05:00
1775952935699916300,0.623916259765625,-35.30274963378906,-18.70138168334961,-27.51923370361328,2026-04-11T19:15:35.699-05:00
1775952935709972500,0.633972412109375,-35.44453048706055,-18.779218673706055,-27.55762481689453,2026-04-11T19:15:35.709-05:00
1775952935720029400,0.644029541015625,-35.477176666259766,-18.376609802246094,-27.68653106689453,2026-04-11T19:15:35.720-05:00
1775952935730086400,0.65408642578125,-35.55202865600586,-18.109132766723633,-27.682823181152344,2026-04-11T19:15:35.730-05:00
1775952935740142300,0.664142333984375,-35.57228469848633,-17.937917709350586,-27.60895538330078,2026-04-11T19:15:35.740-05:00
1775952935750199300,0.67419921875,-35.322113037109375,-17.81790542602539,-27.4835205078125,2026-04-11T19:15:35.750-05:00
