absolute_timestamp,accel_x,accel_y,accel_z
1773292760098,0.586,-0.704,-0.358
1773292760117,0.591,-0.691,-0.357
1773292760137,0.593,-0.729,-0.351
1773292760157,0.588,-0.700,-0.356
1773292760176,0.584,-0.718,-0.359
1773292760196,0.592,-0.721,-0.386
1773292760216,0.593,-0.722,-0.369
1773292760235,0.593,-0.704,-0.367
1773292760255,0.585,-0.716,-0.357
1773292760275,0.589,-0.716,-0.367
1773292760295,0.596,-0.717,-0.370
1773292760314,0.590,-0.712,-0.379
1773292760334,0.589,-0.714,-0.374
1773292760354,0.588,-0.714,-0.371
1773292760373,0.587,-0.702,-0.377
1773292760393,0.590,-0.707,-0.380
1773292760413,0.584,-0.722,-0.371
1773292760432,0.584,-0.718,-0.372
1773292760452,0.588,-0.719,-0.369
1773292760472,0.592,-0.708,-0.369
1773292760491,0.591,-0.709,-0.368
1773292760511,0.591,-0.713,-0.371
1773292760531,0.587,-0.711,-0.375
1773292760550,0.586,-0.718,-0.374
1773292760570,0.582,-0.708,-0.368
1773292760590,0.579,-0.719,-0.362
1773292760610,0.582,-0.708,-0.369
1773292760629,0.581,-0.716,-0.371
1773292760649,0.578,-0.709,-0.369
1773292760669,0.582,-0.726,-0.367
1773292760688,0.588,-0.707,-0.378
1773292760708,0.589,-0.712,-0.380
1773292760728,0.589,-0.719,-0.373
1773292760747,0.591,-0.705,-0.369
1773292760767,0.596,-0.696,-0.370
1773292760787,0.598,-0.707,-0.357
1773292760806,0.597,-0.714,-0.356
1773292760826,0.595,-0.724,-0.323
1773292760846,0.588,-0.699,-0.308
1773292760866,0.580,-0.715,-0.354
1773292760885,0.568,-0.735,-0.378
1773292760905,0.563,-0.732,-0.385
1773292760925,0.563,-0.707,-0.423
1773292760944,0.548,-0.700,-0.472
1773292760964,0.525,-0.741,-0.473
1773292760984,0.522,-0.735,-0.481
1773292761003,0.522,-0.723,-0.507
1773292761023,0.516,-0.745,-0.495
1773292761043,0.499,-0.755,-0.460
1773292761062,0.497,-0.711,-0.464
1773292761082,0.501,-0.728,-0.460
1773292761102,0.499,-0.722,-0.463
1773292761121,0.484,-0.728,-0.462
1773292761141,0.470,-0.722,-0.445
1773292761161,0.468,-0.713,-0.465
1773292761181,0.462,-0.731,-0.478
1773292761200,0.460,-0.742,-0.473
1773292761220,0.457,-0.715,-0.453
1773292761240,0.454,-0.712,-0.441
1773292761259,0.450,-0.745,-0.449
1773292761279,0.451,-0.729,-0.470
1773292761299,0.453,-0.706,-0.477
1773292761318,0.459,-0.740,-0.460
1773292761338,0.466,-0.722,-0.462
1773292761358,0.475,-0.733,-0.481
1773292761377,0.472,-0.718,-0.496
1773292761397,0.472,-0.720,-0.496
1773292761417,0.474,-0.744,-0.482
1773292761436,0.482,-0.747,-0.482
1773292761456,0.493,-0.700,-0.493
1773292761476,0.489,-0.688,-0.497
1773292761496,0.483,-0.709,-0.507
1773292761515,0.477,-0.718,-0.508
1773292761535,0.479,-0.708,-0.520
1773292761555,0.483,-0.713,-0.509
1773292761574,0.489,-0.712,-0.505
1773292761594,0.488,-0.706,-0.507
1773292761614,0.482,-0.710,-0.502
1773292761633,0.482,-0.715,-0.505
1773292761653,0.481,-0.722,-0.502
1773292761673,0.479,-0.718,-0.513
1773292761692,0.480,-0.724,-0.507
1773292761712,0.475,-0.718,-0.512
1773292761732,0.473,-0.721,-0.507
1773292761751,0.472,-0.726,-0.502
1773292761771,0.476,-0.708,-0.496
1773292761791,0.478,-0.721,-0.496
1773292761810,0.478,-0.698,-0.497
1773292761830,0.476,-0.708,-0.503
1773292761850,0.476,-0.708,-0.496
1773292761869,0.476,-0.706,-0.498
1773292761889,0.474,-0.691,-0.509
1773292761909,0.476,-0.709,-0.510
1773292761929,0.471,-0.704,-0.509
1773292761948,0.474,-0.717,-0.505
1773292761968,0.475,-0.695,-0.516
1773292761988,0.477,-0.705,-0.517
1773292762007,0.469,-0.696,-0.519
1773292762027,0.468,-0.709,-0.512
1773292762047,0.471,-0.713,-0.513
1773292762066,0.474,-0.704,-0.515
1773292762086,0.469,-0.705,-0.516
1773292762106,0.471,-0.711,-0.520
1773292762125,0.467,-0.711,-0.523
1773292762145,0.472,-0.702,-0.518
1773292762165,0.465,-0.706,-0.517
1773292762184,0.466,-0.699,-0.522
