absolute_timestamp,accel_x,accel_y,accel_z
1142227170.967,-0.221187,-0.358841,-0.967811
1142227170.986,0.151545,-0.190527,-1.151190
1142227170.996,0.481118,0.564928,-1.162895
1142227171.006,0.740069,1.590469,-1.158993
1142227171.016,0.932320,2.819552,-1.166797
1142227171.025,0.971555,3.500636,-1.034140
1142227171.036,0.457577,2.373324,-1.108272
1142227171.046,0.473271,2.772580,-1.014631
1142227171.056,0.359490,3.140522,-1.022435
1142227171.066,0.288867,3.301008,-0.983418
1142227171.076,0.214321,3.070065,-0.901483
1142227171.086,-0.017165,2.486838,-0.815646
1142227171.096,-0.209416,1.574812,-0.659579
1142227171.106,-0.472290,0.431843,-0.542528
1142227171.116,-0.770476,-0.797240,-0.444986
1142227171.126,-1.068661,-2.034152,-0.448888
1142227171.136,-1.311918,-3.044035,-0.515217
1142227171.146,-1.410005,-3.736862,-0.667382
1142227171.157,-1.296224,-3.979548,-0.854663
1142227171.166,-0.986268,-3.697720,-1.092665
1142227171.176,-0.531143,-2.942264,-1.264339
1142227171.186,-0.032859,-1.865838,-1.354077
1142227171.196,0.418342,-0.534984,-1.369684
1142227171.206,0.779304,0.878070,-1.330667
1142227171.216,1.014713,2.259810,-1.276044
1142227171.226,1.089259,3.484979,-1.209715
1142227171.236,1.026484,4.357862,-1.135583
1142227171.245,0.861697,4.690576,-1.069255
1142227171.257,0.551741,4.487033,-1.002926
1142227171.266,0.292791,3.688521,-0.881974
1142227171.276,0.037764,2.518152,-0.729809
1142227171.286,-0.276116,1.171641,-0.542528
1142227171.296,-0.605689,-0.249242,-0.347444
1142227171.306,-0.947033,-1.701438,-0.359149
1142227171.316,-1.202060,-2.828750,-0.433281
1142227171.326,-1.378617,-3.592034,-0.616660
1142227171.336,-1.311918,-3.889519,-0.780531
1142227171.346,-1.033350,-3.705548,-1.010730
1142227171.356,-0.542913,-3.087092,-1.256535
1142227171.366,0.006376,-2.026323,-1.365782
1142227171.376,0.457577,-0.722869,-1.404799
1142227171.386,0.767533,0.678442,-1.389192
1142227171.396,0.995096,2.024953,-1.326766
1142227171.406,1.120648,3.183579,-1.201912
1142227171.416,1.050024,4.123006,-1.182403
1142227171.426,0.897008,4.502691,-1.135583
1142227171.436,0.747916,4.150405,-1.022435
1142227171.446,0.359490,3.739407,-1.014631
1142227171.456,-0.072094,2.823466,-0.768826
1142227171.466,-0.236881,1.610040,-0.593250
1142227171.476,-0.531143,0.240043,-0.327936
1142227171.486,-0.892104,-1.176925,-0.511315
1142227171.496,-1.088279,-2.695665,-0.331838
1142227171.506,-1.256989,-3.513749,-0.655677
1142227171.516,-1.390388,-3.862119,-0.725907
1142227171.526,-1.084355,-3.658577,-1.225322
1142227171.536,-0.735164,-3.384577,-1.010730
1142227171.546,-0.303580,-2.930521,-1.396996
1142227171.556,0.230015,-2.006752,-1.279945
1142227171.566,0.692987,-0.718955,-1.533554
1142227171.576,0.999019,0.690185,-1.369684
1142227171.586,1.081412,1.958411,-1.369684
1142227171.596,1.214811,3.089637,-1.205813
1142227171.606,1.167729,3.974263,-1.041943
1142227171.616,1.108877,4.346120,-0.979516
1142227171.626,0.834232,4.400919,-0.995123
1142227171.636,0.689063,4.052549,-1.038041
1142227171.646,0.500736,3.210980,-0.870269
1142227171.656,0.214321,2.083668,-0.640070
1142227171.666,-0.083865,0.838928,-0.562037
1142227171.676,-0.327121,-0.531069,-0.324034
1142227171.686,-0.703776,-1.822781,-0.288919
1142227171.696,-0.829328,-2.781779,-0.402068
1142227171.706,-0.813634,-3.443292,-0.546430
1142227171.718,-0.841099,-3.588120,-0.862466
1142227171.726,-0.629230,-3.443292,-0.940500
1142227171.736,-0.209416,-2.856150,-1.194109
1142227171.746,0.304561,-1.865838,-1.170698
1142227171.756,0.583129,-0.683726,-1.240929
1142227171.766,0.842079,0.521871,-1.155092
1142227171.776,1.199117,1.852725,-1.030238
1142227171.786,1.293281,3.019180,-0.827351
1142227171.796,1.352133,4.052549,-0.722005
1142227171.806,1.159882,4.498776,-0.901483
1142227171.816,0.783227,4.494862,-0.850761
1142227171.826,1.112801,3.301008,-0.558135
1142227171.836,-3.399216,4.451805,-2.212446
1142227171.846,-0.060324,6.248458,0.027117
1142227171.856,3.023541,0.878070,1.447328
1142227171.866,-1.425699,-0.683726,-1.763753
1142227171.876,-2.885238,-0.257070,0.620172
1142227171.886,-0.017165,-3.098835,-0.542528
1142227171.896,-1.661109,-2.773950,-0.608857
1142227171.906,-1.774890,-3.431549,-0.608857
1142227171.916,-0.723394,-3.631177,-1.443816
1142227171.926,-0.860716,-3.169292,-0.963910
1142227171.936,-0.158411,-1.924552,-1.615490
1142227171.946,-0.342815,-1.008611,-1.104370
1142227171.956,0.202550,0.240043,-1.256535
1142227171.966,0.641981,1.328212,-1.689622
1142227171.976,0.469348,0.991584,-1.494538
1142227171.986,1.497303,0.470985,-1.139485
1142227171.998,-0.315351,1.328212,-1.432111
1142227172.006,1.097106,0.940699,-1.026336
1142227172.016,0.002452,0.643214,-0.979516
1142227172.026,-0.166258,0.694099,-0.761022
1142227172.036,-0.342815,0.713671,-0.811744
1142227172.046,-0.005395,0.435757,-1.034140
1142227172.056,0.281020,0.279186,-1.073157
1142227172.066,0.155468,0.095215,-1.034140
1142227172.076,0.053458,0.185243,-0.971713
1142227172.086,0.065228,0.314414,-0.940500
1142227172.096,0.163315,0.353557,-0.881974
1142227172.106,0.214321,0.424014,-0.924893
1142227172.116,0.163315,0.353557,-0.881974
1142227172.126,0.171162,0.388786,-0.913188
1142227172.136,0.269250,0.576671,-0.811744
1142227172.146,0.261403,0.498385,-0.874171
1142227172.156,0.363413,0.443585,-0.839056
1142227172.166,0.363413,0.330071,-0.788334
1142227172.176,0.390878,0.349643,-0.714202
1142227172.186,0.402648,0.420100,-0.780531
1142227172.196,0.292791,0.283100,-0.881974
1142227172.206,0.300638,0.177415,-0.870269
1142227172.216,0.284944,0.314414,-0.835154
1142227172.226,0.194703,0.361386,-0.846859
1142227172.236,0.065228,0.377043,-0.878073
1142227172.245,0.010299,0.259614,-0.866368
1142227172.256,0.171162,0.388786,-0.850761
1142227172.266,0.100539,0.326157,-0.917089
1142227172.276,0.194703,0.459243,-0.842958
1142227172.286,0.273173,0.514043,-0.788334
1142227172.296,0.292791,0.439671,-0.718104
1142227172.307,0.281020,0.173500,-0.764924
1142227172.316,0.434036,0.056072,-0.690792
1142227172.326,0.332026,0.142186,-0.792236
1142227172.336,0.332026,0.079558,-0.827351
1142227172.346,0.488965,0.224386,-0.733711
1142227172.356,0.618440,0.275272,-0.686890
1142227172.367,0.653752,0.236129,-0.628365
1142227172.376,0.944090,0.408357,-0.651775
1142227172.386,0.779304,0.345729,-0.643972
1142227172.396,0.751839,0.341814,-0.589348
1142227172.406,0.767533,0.427928,-0.663480
1142227172.416,0.740069,0.333986,-0.573742
1142227172.426,0.567435,0.298757,-0.616660
1142227172.436,0.645905,0.443585,-0.565938
1142227172.446,0.677293,0.482728,-0.526922
1142227172.456,0.716528,0.377043,-0.519118
1142227172.468,0.696910,0.259614,-0.534725
1142227172.476,0.700834,0.275272,-0.507413
1142227172.486,0.712604,0.330071,-0.495708
1142227172.496,0.716528,0.326157,-0.491807
1142227172.506,0.736145,0.306586,-0.327936
1142227172.517,0.834232,0.267443,-0.366953
1142227172.526,0.944090,0.388786,-0.409871
1142227172.536,0.893085,0.510128,-0.281116
1142227172.546,0.747916,0.510128,-0.370854
1142227172.557,0.712604,0.564928,-0.347444
1142227172.567,0.838156,0.373128,-0.242099
1142227172.576,0.955861,0.290929,-0.304526
1142227172.587,0.861697,0.510128,-0.339641
1142227172.597,0.759686,0.604071,-0.206984
1142227172.607,0.834232,0.443585,-0.199181
1142227172.617,0.877391,0.318329,-0.140655
1142227172.627,0.908779,0.377043,-0.117245
1142227172.637,0.932320,0.447500,-0.132852
1142227172.647,0.861697,0.557100,-0.101639
1142227172.657,0.900932,0.459243,-0.050917
1142227172.667,0.924473,0.408357,-0.054819
1142227172.676,0.885238,0.486643,0.027117
