absolute_timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z
1773292763337653333,-0.038285,-0.081356,9.686146,0.000611,-0.000305,0.000153
1773292763338078333,-0.014357,-0.062213,9.676575,0.000611,-0.000305,0.000153
1773292763340235624,0.000000,-0.066999,9.700503,0.000611,-0.000305,0.000153
1773292763339810624,0.000000,-0.066999,9.700503,0.000611,-0.000305,0.000153
1773292763341969114,0.000000,-0.066999,9.700503,0.000611,-0.000305,0.000153
1773292763342394114,0.004786,-0.057428,9.719646,0.000611,-0.000305,0.000153
1773292763344129583,0.004786,-0.057428,9.719646,0.000611,-0.000305,0.000153
1773292763344554583,0.004786,-0.062213,9.700503,0.000611,-0.000305,0.000153
1773292763346290051,0.004786,-0.062213,9.700503,0.000611,-0.001527,-0.002291
1773292763346715051,0.000000,-0.052642,9.690931,0.000611,-0.001527,-0.002291
1773292763348450468,0.000000,-0.052642,9.690931,-0.001833,0.002138,0.000153
1773292763348875468,-0.004786,-0.062213,9.695718,-0.001833,0.002138,0.000153
1773292763350610989,-0.004786,-0.062213,9.695718,0.000611,0.000916,0.000153
1773292763351035989,0.000000,-0.062213,9.710074,0.000611,0.000916,0.000153
1773292763352771458,0.000000,-0.062213,9.710074,-0.001833,0.002138,0.000153
1773292763353196458,-0.014357,-0.076570,9.695718,-0.001833,0.002138,0.000153
1773292763354931874,-0.014357,-0.076570,9.695718,0.000611,0.002138,-0.001069
1773292763355356874,-0.014357,-0.062213,9.690931,0.000611,0.002138,-0.001069
1773292763357092343,-0.014357,-0.062213,9.690931,0.000611,-0.001527,0.000153
1773292763357517343,0.000000,-0.057428,9.705289,0.000611,-0.001527,0.000153
1773292763359252812,0.000000,-0.057428,9.705289,0.000611,-0.002749,0.000153
1773292763359677812,0.009571,-0.066999,9.700503,0.000611,-0.002749,0.000153
1773292763361413281,0.009571,-0.066999,9.700503,0.000611,-0.001527,-0.001069
1773292763361838281,-0.004786,-0.057428,9.738789,0.000611,-0.001527,-0.001069
1773292763363573749,-0.004786,-0.057428,9.738789,-0.000611,-0.001527,-0.001069
1773292763363998749,-0.004786,-0.062213,9.695718,-0.000611,-0.001527,-0.001069
1773292763365734218,-0.004786,-0.062213,9.695718,0.000611,-0.000305,-0.001069
1773292763366159218,-0.019143,-0.052642,9.686146,0.000611,-0.000305,-0.001069
1773292763367894687,-0.019143,-0.052642,9.686146,-0.000611,0.003360,0.000153
1773292763368319687,-0.019143,-0.066999,9.705289,-0.000611,0.003360,0.000153
1773292763370055156,-0.019143,-0.066999,9.705289,-0.001833,0.002138,0.000153
1773292763370480156,-0.014357,-0.066999,9.724431,-0.001833,0.002138,0.000153
1773292763372215624,-0.014357,-0.066999,9.724431,-0.000611,-0.000305,0.000153
1773292763372640624,-0.009571,-0.062213,9.714860,-0.000611,-0.000305,0.000153
1773292763374376093,-0.009571,-0.062213,9.714860,0.000611,-0.000305,-0.001069
1773292763374801093,-0.004786,-0.052642,9.705289,0.000611,-0.000305,-0.001069
1773292763376536562,-0.004786,-0.052642,9.705289,-0.000611,-0.000305,0.000153
1773292763376961562,0.000000,-0.057428,9.714860,-0.000611,-0.000305,0.000153
1773292763378697031,0.000000,-0.057428,9.714860,0.000611,-0.001527,-0.001069
1773292763379122031,-0.014357,-0.066999,9.719646,0.000611,-0.001527,-0.001069
1773292763380857499,-0.014357,-0.066999,9.719646,0.000611,-0.001527,0.000153
1773292763381282499,-0.014357,-0.066999,9.700503,0.000611,-0.001527,0.000153
1773292763383017916,-0.014357,-0.066999,9.700503,-0.000611,0.000916,0.000153
1773292763383442916,-0.009571,-0.066999,9.705289,-0.000611,0.000916,0.000153
1773292763385178385,-0.009571,-0.066999,9.705289,-0.000611,0.000916,0.000153
1773292763385603385,-0.009571,-0.047856,9.700503,-0.000611,0.000916,0.000153
1773292763387338853,-0.009571,-0.047856,9.700503,0.000611,-0.001527,0.000153
1773292763387763853,-0.004786,-0.066999,9.724431,0.000611,-0.001527,0.000153
1773292763389499322,-0.004786,-0.066999,9.724431,-0.000611,0.000916,0.001374
1773292763389924322,-0.014357,-0.052642,9.714860,-0.000611,0.000916,0.001374
1773292763391659791,-0.014357,-0.052642,9.714860,-0.000611,-0.000305,0.000153
1773292763392084791,0.009571,-0.057428,9.710074,-0.000611,-0.000305,0.000153
1773292763393820260,0.009571,-0.057428,9.710074,-0.000611,0.000916,0.000153
1773292763394245260,-0.004786,-0.057428,9.710074,-0.000611,0.000916,0.000153
1773292763395980728,-0.004786,-0.057428,9.710074,-0.000611,0.002138,0.000153
1773292763396405728,-0.004786,-0.057428,9.710074,-0.000611,0.002138,0.000153
1773292763398141197,-0.004786,-0.057428,9.710074,-0.001833,0.000916,0.000153
1773292763398566197,0.004786,-0.066999,9.695718,-0.001833,0.000916,0.000153
1773292763400301666,0.004786,-0.066999,9.695718,-0.000611,-0.000305,0.000153
1773292763400726666,-0.004786,-0.066999,9.705289,-0.000611,-0.000305,0.000153
1773292763402462135,-0.004786,-0.066999,9.705289,-0.000611,-0.001527,-0.001069
1773292763402887135,-0.004786,-0.062213,9.700503,-0.000611,-0.001527,-0.001069
1773292763404622551,-0.004786,-0.062213,9.700503,0.001833,-0.001527,0.000153
1773292763405047551,-0.009571,-0.062213,9.700503,0.001833,-0.001527,0.000153
1773292763406783020,-0.009571,-0.062213,9.700503,0.000611,0.002138,0.000153
1773292763407208020,-0.004786,-0.071785,9.710074,0.000611,0.002138,0.000153
1773292763408943489,-0.004786,-0.071785,9.710074,0.000611,-0.001527,0.000153
1773292763409368489,0.000000,-0.066999,9.724431,0.000611,-0.001527,0.000153
1773292763411104010,0.000000,-0.066999,9.724431,-0.000611,0.000916,0.000153
1773292763411529010,0.000000,-0.062213,9.700503,-0.000611,0.000916,0.000153
1773292763413264426,0.000000,-0.062213,9.700503,0.000611,0.000916,0.000153
1773292763413689426,0.000000,-0.052642,9.714860,0.000611,0.000916,0.000153
1773292763415424895,0.000000,-0.052642,9.714860,0.000611,0.000916,-0.001069
1773292763415849895,0.000000,-0.057428,9.714860,0.000611,0.000916,-0.001069
1773292763417585416,0.000000,-0.057428,9.714860,-0.000611,-0.001527,0.001374
1773292763418010416,-0.004786,-0.071785,9.719646,-0.000611,-0.001527,0.001374
1773292763419745833,-0.004786,-0.071785,9.719646,0.000611,-0.002749,-0.001069
1773292763420170833,0.000000,-0.062213,9.690931,0.000611,-0.002749,-0.001069
1773292763421906301,0.000000,-0.062213,9.690931,-0.000611,-0.000305,-0.001069
1773292763422331301,0.004786,-0.062213,9.705289,-0.000611,-0.000305,-0.001069
1773292763424066770,0.004786,-0.062213,9.705289,0.000611,-0.000305,0.000153
1773292763424491770,-0.009571,-0.047856,9.710074,0.000611,-0.000305,0.000153
1773292763426227239,-0.009571,-0.047856,9.710074,0.000611,-0.000305,0.001374
