absolute_timestamp,accel_x,accel_y,accel_z
1775528978467,0.226,-0.619,-0.779
1775528978487,0.219,-0.630,-0.771
1775528978507,0.208,-0.632,-0.735
1775528978527,0.208,-0.638,-0.697
1775528978546,0.218,-0.617,-0.677
1775528978566,0.231,-0.612,-0.681
1775528978586,0.244,-0.620,-0.700
1775528978605,0.253,-0.627,-0.718
1775528978625,0.252,-0.629,-0.763
1775528978645,0.247,-0.624,-0.771
1775528978664,0.255,-0.621,-0.783
1775528978684,0.254,-0.633,-0.760
1775528978704,0.246,-0.614,-0.733
1775528978724,0.229,-0.595,-0.706
1775528978743,0.212,-0.601,-0.696
1775528978763,0.198,-0.622,-0.666
1775528978783,0.167,-0.642,-0.621
1775528978802,0.185,-0.537,-0.676
1775528978822,0.204,-0.554,-0.755
1775528978842,0.201,-0.630,-0.716
1775528978861,0.198,-0.575,-0.751
1775528978881,0.225,-0.479,-0.864
1775528978901,0.213,-0.562,-0.832
1775528978921,0.188,-0.575,-0.799
1775528978940,0.181,-0.554,-0.809
1775528978960,0.200,-0.490,-0.888
1775528978980,0.192,-0.537,-0.867
1775528978999,0.176,-0.539,-0.804
1775528979019,0.164,-0.517,-0.797
1775528979039,0.180,-0.461,-0.870
1775528979058,0.190,-0.503,-0.875
1775528979078,0.174,-0.512,-0.846
1775528979098,0.177,-0.481,-0.871
1775528979117,0.189,-0.447,-0.943
1775528979137,0.178,-0.482,-0.908
1775528979157,0.163,-0.497,-0.867
1775528979177,0.157,-0.510,-0.857
1775528979196,0.164,-0.452,-0.868
1775528979216,0.161,-0.441,-0.876
1775528979236,0.163,-0.465,-0.866
1775528979255,0.163,-0.499,-0.855
1775528979275,0.170,-0.441,-0.901
1775528979295,0.157,-0.465,-0.902
1775528979314,0.155,-0.476,-0.855
1775528979334,0.158,-0.463,-0.860
1775528979354,0.171,-0.459,-0.881
1775528979374,0.174,-0.463,-0.865
1775528979393,0.170,-0.453,-0.851
1775528979413,0.171,-0.421,-0.862
1775528979433,0.169,-0.455,-0.857
1775528979452,0.182,-0.453,-0.865
1775528979472,0.176,-0.427,-0.881
1775528979492,0.167,-0.424,-0.880
1775528979511,0.167,-0.434,-0.857
1775528979531,0.169,-0.435,-0.885
1775528979551,0.169,-0.458,-0.879
1775528979570,0.172,-0.432,-0.859
1775528979590,0.168,-0.402,-0.869
1775528979610,0.171,-0.428,-0.880
1775528979630,0.168,-0.431,-0.876
1775528979649,0.169,-0.422,-0.891
1775528979669,0.167,-0.431,-0.890
1775528979689,0.168,-0.423,-0.883
1775528979708,0.170,-0.420,-0.895
1775528979728,0.167,-0.422,-0.892
