absolute_timestamp,accel_x,accel_y,accel_z
1144463388.707,0.175086,-0.570212,-0.956106
1144463388.717,0.602746,-0.280556,-1.092665
1144463388.727,0.822462,0.654957,-1.065353
1144463388.738,0.948014,1.653097,-1.026336
1144463388.747,1.120648,2.541638,-1.018533
1144463388.757,1.132418,3.430179,-1.006828
1144463388.767,0.967631,3.997749,-0.854663
1144463388.777,0.638058,2.326353,-0.975615
1144463388.787,0.567435,2.017125,-1.006828
1144463388.797,0.516430,2.279382,-0.956106
1144463388.807,0.473271,2.357667,-0.905384
1144463388.817,0.367337,2.158039,-0.893679
1144463388.827,0.210397,1.711811,-0.811744
1144463388.837,0.041687,1.030727,-0.741514
1144463388.847,-0.170181,0.193072,-0.643972
1144463388.857,-0.374203,-0.734612,-0.601053
1144463388.867,-0.562531,-1.721010,-0.589348
1144463388.878,-0.754782,-2.640865,-0.624464
1144463388.887,-0.907798,-3.384577,-0.698595
1144463388.897,-0.954880,-3.889519,-0.776629
1144463388.907,-0.829328,-4.077405,-0.948303
1144463388.917,-0.554684,-3.881691,-1.061451
1144463388.927,-0.158411,-3.368920,-1.209715
1144463388.937,0.257479,-2.554751,-1.276044
1144463388.947,0.692987,-1.576181,-1.268240
1144463388.957,1.038254,-0.452784,-1.233125
1144463388.967,1.308975,0.701928,-1.174600
1144463388.977,1.422756,1.813582,-1.112173
1144463388.987,1.422756,2.796066,-1.041943
1144463388.997,1.305052,3.508464,-0.960008
1144463389.016,0.893085,3.911635,-0.846859
1144463389.028,0.720451,3.492807,-0.796137
1144463389.037,0.488965,2.799981,-0.679087
1144463389.047,0.167239,1.829240,-0.558135
1144463389.057,-0.111329,0.733242,-0.441085
1144463389.067,-0.358509,-0.409727,-0.327936
1144463389.077,-0.574301,-1.521382,-0.273313
1144463389.087,-0.794017,-2.550837,-0.253804
1144463389.097,-0.962727,-3.357177,-0.327936
1144463389.107,-1.025503,-3.885605,-0.444986
1144463389.117,-0.923492,-4.081319,-0.562037
1144463389.126,-0.637077,-3.924748,-0.749317
1144463389.137,-0.236881,-3.455034,-0.885876
1144463389.147,0.210397,-2.707407,-0.967811
1144463389.157,0.630211,-1.728838,-0.987320
1144463389.166,0.971555,-0.648498,-0.924893
1144463389.177,1.222658,0.537528,-0.870269
1144463389.187,1.367827,1.688326,-0.772727
1144463389.197,1.403139,2.706038,-0.698595
1144463389.207,1.336440,3.500636,-0.659579
1144463389.217,1.191270,3.946864,-0.624464
1144463389.227,0.987249,4.025149,-0.608857
1144463389.237,0.751839,3.751150,-0.569840
1144463389.247,0.500736,3.148351,-0.472298
1144463389.257,0.261403,2.314610,-0.359149
1144463389.267,0.045611,1.375184,-0.285018
1144463389.277,-0.205493,0.294843,-0.203082
1144463389.287,-0.472290,-0.926411,-0.144557
1144463389.297,-0.703776,-2.120266,-0.191377
1144463389.307,-0.868563,-3.051864,-0.277214
1144463389.317,-0.919568,-3.654663,-0.382560
1144463389.327,-0.860716,-3.877776,-0.523020
1144463389.336,-0.629230,-3.748605,-0.682989
1144463389.346,-0.256498,-3.345435,-0.835154
1144463389.356,0.222168,-2.703493,-0.940500
1144463389.366,0.689063,-1.814952,-1.010730
1144463389.376,1.093183,-0.750269,-1.018533
1144463389.386,1.403139,0.365300,-1.053648
1144463389.396,1.618931,1.453469,-1.049746
1144463389.406,1.764100,2.475095,-1.006828
1144463389.416,1.795488,3.379293,-0.967811
1144463389.426,1.728789,4.013406,-0.920991
1144463389.436,1.571849,4.357862,-0.850761
1144463389.446,1.328593,4.295234,-0.780531
1144463389.456,1.089259,3.817692,-0.686890
1144463389.466,0.897008,3.019180,-0.624464
1144463389.476,0.740069,2.044525,-0.530823
1144463389.486,0.524277,0.940699,-0.472298
1144463389.497,0.284944,-0.241413,-0.456691
1144463389.506,0.022070,-1.458753,-0.378658
1144463389.516,-0.170181,-2.452980,-0.277214
1144463389.526,-0.295733,-3.091007,-0.167967
1144463389.536,-0.429132,-3.462863,-0.238197
1144463389.546,-0.346739,-3.619434,-0.429380
1144463389.556,-0.005395,-3.521577,-0.577643
1144463389.566,0.398725,-3.145807,-0.776629
1144463389.576,0.846003,-2.441237,-0.831253
1144463389.586,1.210888,-1.439182,-0.920991
1144463389.596,1.426680,-0.495841,-0.917089
1144463389.606,1.564002,0.486643,-0.772727
1144463389.616,1.689554,1.531754,-0.690792
1144463389.626,1.822953,2.388981,-0.643972
1144463389.636,1.932810,3.156179,-0.413773
1144463389.646,2.101520,3.978178,-0.351346
1144463389.656,1.893575,4.134748,-0.316231
1144463389.666,1.728789,4.029063,-0.238197
1144463389.676,1.383522,3.645464,-0.093835
1144463389.686,1.081412,2.972209,0.163675
1144463389.696,0.791074,2.142382,0.304136
1144463389.705,0.492889,0.952442,0.432891
1144463389.716,0.630211,0.776299,1.189817
1144463389.726,0.720451,-0.096585,2.059891
1144463389.736,1.301128,-0.276641,1.423917
1144463389.746,1.775871,-0.640669,1.431721
1144463389.756,1.685630,-0.836383,-0.249902
1144463389.766,0.936243,-0.476270,3.870270
1144463389.778,1.532614,0.580585,-1.631096
1144463389.786,3.761157,-1.012526,-1.966641
1144463389.796,1.505150,-0.828555,-1.092665
1144463389.806,0.308485,1.140327,-0.745416
1144463389.816,0.359490,1.590469,-0.917089
1144463389.826,2.458558,1.152070,-1.826180
1144463389.836,5.267778,0.486643,-0.862466
1144463389.846,2.372241,-1.979352,-0.901483
1144463389.856,-0.405591,2.404638,-0.117245
1144463389.866,0.257479,0.005186,-0.117245
1144463389.876,1.454144,-0.288384,-0.246001
1144463389.886,0.987249,0.576671,0.073937
1144463389.896,0.865620,0.193072,0.054428
1144463389.906,0.967631,0.110872,-0.027507
1144463389.916,0.975478,0.240043,-0.148459
1144463389.926,0.951937,0.193072,-0.203082
