time,seconds_elapsed,z,y,x,local_time
1775952797736094200,0.09009423828125,-42.737266540527344,-11.150073051452637,-16.574684143066406,2026-04-11T19:13:17.736-05:00
1775952797746151200,0.100151123046875,-42.71686553955078,-11.3593168258667,-16.508438110351562,2026-04-11T19:13:17.746-05:00
1775952797756208000,0.1102080078125,-42.71350860595703,-11.49927043914795,-16.503623962402344,2026-04-11T19:13:17.756-05:00
1775952797766265000,0.12026513671875,-42.69940948486328,-11.833831787109375,-16.507652282714844,2026-04-11T19:13:17.766-05:00
1775952797776321300,0.1303212890625,-42.6556396484375,-12.2837495803833,-16.24280548095703,2026-04-11T19:13:17.776-05:00
1775952797786378200,0.140378173828125,-42.616085052490234,-12.42022705078125,-16.245460510253906,2026-04-11T19:13:17.786-05:00
1775952797796435200,0.150435302734375,-42.64948272705078,-12.857176780700684,-16.11803436279297,2026-04-11T19:13:17.796-05:00
1775952797806492200,0.1604921875,-42.46664047241211,-13.171430587768555,-15.987678527832031,2026-04-11T19:13:17.806-05:00
1775952797816548000,0.170548095703125,-42.46664047241211,-13.171430587768555,-15.987678527832031,2026-04-11T19:13:17.816-05:00
1775952797826605000,0.18060498046875,-42.43568420410156,-13.378822326660156,-15.991310119628906,2026-04-11T19:13:17.826-05:00
1775952797836662000,0.190662109375,-42.419189453125,-13.716777801513672,-15.996742248535156,2026-04-11T19:13:17.836-05:00
1775952797846719200,0.20071923828125,-42.47088623046875,-13.596848487854004,-15.866958618164062,2026-04-11T19:13:17.846-05:00
1775952797856775200,0.210775146484375,-42.35186767578125,-13.73630142211914,-15.728553771972656,2026-04-11T19:13:17.856-05:00
1775952797866832400,0.220832275390625,-42.48982238769531,-13.992345809936523,-15.595260620117188,2026-04-11T19:13:17.866-05:00
1775952797876889300,0.230889404296875,-42.40619659423828,-13.877681732177734,-15.673660278320312,2026-04-11T19:13:17.876-05:00
1775952797886946300,0.2409462890625,-42.356040954589844,-13.965909957885742,-15.650100708007812,2026-04-11T19:13:17.886-05:00
1775952797897002200,0.251002197265625,-42.48528289794922,-13.7349853515625,-15.590736389160156,2026-04-11T19:13:17.897-05:00
1775952797907059200,0.26105908203125,-42.58002853393555,-13.478363037109375,-15.692039489746094,2026-04-11T19:13:17.907-05:00
1775952797917116200,0.2711162109375,-42.583316802978516,-13.151901245117188,-15.6649169921875,2026-04-11T19:13:17.917-05:00
1775952797927173000,0.281173095703125,-42.508628845214844,-12.72697639465332,-15.761329650878906,2026-04-11T19:13:17.927-05:00
1775952797937229300,0.291229248046875,-42.77219009399414,-12.334590911865234,-16.078018188476562,2026-04-11T19:13:17.937-05:00
1775952797947286300,0.301286376953125,-42.76225280761719,-12.05882453918457,-16.41716766357422,2026-04-11T19:13:17.947-05:00
1775952797957343200,0.31134326171875,-42.53636169433594,-11.445236206054688,-17.25432586669922,2026-04-11T19:13:17.957-05:00
1775952797967400200,0.321400146484375,-42.45606994628906,-11.37251091003418,-18.061119079589844,2026-04-11T19:13:17.967-05:00
1775952797977456000,0.3314560546875,-41.89409255981445,-11.407327651977539,-19.064247131347656,2026-04-11T19:13:17.977-05:00
1775952797987513000,0.34151318359375,-41.106910705566406,-11.499059677124023,-20.503028869628906,2026-04-11T19:13:17.987-05:00
1775952797997570000,0.351570068359375,-39.96741485595703,-12.384925842285156,-22.28912353515625,2026-04-11T19:13:17.997-05:00
1775952798007627300,0.361627197265625,-38.66804504394531,-12.987971305847168,-23.91504669189453,2026-04-11T19:13:18.007-05:00
1775952798017683200,0.37168310546875,-37.556976318359375,-13.639104843139648,-25.19782257080078,2026-04-11T19:13:18.017-05:00
1775952798027740400,0.381740478515625,-37.14640808105469,-14.120552062988281,-25.831268310546875,2026-04-11T19:13:18.027-05:00
1775952798037797400,0.39179736328125,-36.8836669921875,-14.159114837646484,-25.96727752685547,2026-04-11T19:13:18.037-05:00
1775952798047854300,0.401854248046875,-36.87745666503906,-14.271961212158203,-25.8638916015625,2026-04-11T19:13:18.047-05:00
1775952798057910300,0.41191015625,-36.87343978881836,-14.285662651062012,-25.706321716308594,2026-04-11T19:13:18.057-05:00
