time,seconds_elapsed,steps,local_time
1775952808131602000,10.485601806640625,2,2026-04-11T19:13:28.131-05:00
1775952810706136600,13.060136474609376,6,2026-04-11T19:13:30.706-05:00
1775952813280672000,15.634672119140625,8,2026-04-11T19:13:33.280-05:00
1775952815855204000,18.2092041015625,12,2026-04-11T19:13:35.855-05:00
1775952818429734400,20.783734375,14,2026-04-11T19:13:38.429-05:00
1775952821004260900,23.3582607421875,18,2026-04-11T19:13:41.004-05:00
1775952823578784300,25.9327841796875,20,2026-04-11T19:13:43.578-05:00
1775952826153301500,28.507301513671877,24,2026-04-11T19:13:46.153-05:00
1775952828727817000,31.08181689453125,26,2026-04-11T19:13:48.727-05:00
1775952831302325500,33.65632543945313,26,2026-04-11T19:13:51.302-05:00
1775952833876831200,36.23083129882812,26,2026-04-11T19:13:53.876-05:00
1775952836451332000,38.80533203125,26,2026-04-11T19:13:56.451-05:00
1775952839025825300,41.3798251953125,26,2026-04-11T19:13:59.025-05:00
1775952841600316400,43.95431640625,26,2026-04-11T19:14:01.600-05:00
1775952844174803700,46.5288037109375,44,2026-04-11T19:14:04.174-05:00
