absolute_timestamp,accel_x,accel_y,accel_z
1775855247732,0.162,-0.922,-0.303
1775855247752,0.189,-0.902,-0.332
1775855247772,0.198,-0.907,-0.365
1775855247792,0.199,-0.926,-0.343
1775855247811,0.194,-0.971,-0.316
1775855247831,0.155,-0.941,-0.288
1775855247851,0.135,-0.907,-0.313
1775855247871,0.111,-0.927,-0.319
1775855247890,0.085,-0.978,-0.284
1775855247910,0.058,-0.981,-0.240
1775855247930,0.060,-0.961,-0.243
1775855247950,0.060,-0.938,-0.261
1775855247969,0.059,-0.910,-0.253
1775855247989,0.052,-0.912,-0.249
1775855248009,0.033,-0.931,-0.247
1775855248029,0.033,-0.938,-0.252
1775855248048,0.021,-0.921,-0.260
1775855248068,0.007,-0.969,-0.243
1775855248088,-0.014,-0.986,-0.234
1775855248108,-0.019,-0.988,-0.251
1775855248127,-0.027,-1.001,-0.264
1775855248147,-0.045,-0.962,-0.257
1775855248167,-0.067,-0.934,-0.276
1775855248187,-0.086,-0.899,-0.285
1775855248206,-0.112,-0.883,-0.312
1775855248226,-0.161,-0.887,-0.332
1775855248246,-0.208,-0.929,-0.351
1775855248266,-0.227,-0.964,-0.405
1775855248285,-0.255,-0.974,-0.448
1775855248305,-0.264,-0.979,-0.476
1775855248325,-0.267,-0.960,-0.500
1775855248345,-0.278,-0.962,-0.492
1775855248365,-0.297,-0.954,-0.435
1775855248384,-0.310,-0.961,-0.393
1775855248404,-0.308,-0.929,-0.338
1775855248424,-0.313,-0.885,-0.274
1775855248444,-0.322,-0.869,-0.233
1775855248463,-0.330,-0.843,-0.192
1775855248483,-0.352,-0.795,-0.222
1775855248503,-0.365,-0.725,-0.344
1775855248523,-0.367,-0.684,-0.429
1775855248542,-0.360,-0.709,-0.513
1775855248562,-0.351,-0.744,-0.654
1775855248582,-0.334,-0.749,-0.738
1775855248602,-0.320,-0.749,-0.746
1775855248621,-0.308,-0.758,-0.727
1775855248641,-0.291,-0.758,-0.741
1775855248661,-0.278,-0.756,-0.729
1775855248681,-0.260,-0.755,-0.707
1775855248700,-0.251,-0.750,-0.678
