absolute_timestamp,accel_x,accel_y,accel_z
1775855243519816895,-1.349552,3.038885,9.092726
1775855243521977624,-1.363909,3.043670,9.020942
1775855243524138353,-1.344766,3.048456,8.977871
1775855243526299031,-1.320838,3.058027,8.934800
1775855243528459708,-1.282553,3.072384,8.934800
1775855243530620437,-1.234697,3.086741,8.953942
1775855243532781114,-1.196411,3.086741,8.930014
1775855243534941843,-1.148555,3.101098,8.920443
1775855243537102520,-1.091127,3.091527,8.930014
1775855243539263197,-1.062413,3.086741,8.906086
1775855243541423926,-1.028914,3.091527,8.920443
1775855243543584656,-0.995414,3.058027,8.963513
1775855243545745333,-0.971486,3.043670,9.001799
1775855243547906062,-0.976272,3.024528,9.040084
1775855243550066739,-1.004985,3.043670,9.083155
1775855243552227468,-1.014557,3.062813,9.116654
1775855243554388145,-1.024128,3.081956,9.107083
1775855243556548874,-0.995414,3.086741,9.174082
1775855243558709551,-0.952343,3.077170,9.241081
1775855243560870228,-0.928415,3.029314,9.360723
1775855243563030906,-0.856631,2.976671,9.461221
1775855243565191635,-0.789631,2.909672,9.528220
1775855243567352312,-0.698704,2.852245,9.585648
1775855243569513041,-0.626920,2.813959,9.528220
1775855243571673718,-0.540778,2.775674,9.442079
1775855243573834447,-0.440279,2.723032,9.284152
1775855243575995124,-0.344566,2.670390,9.135797
1775855243578155853,-0.253639,2.608177,9.040084
1775855243580316531,-0.229711,2.555535,8.920443
1775855243582477260,-0.253639,2.474179,8.915657
1775855243584637937,-0.339781,2.392823,8.949157
1775855243586798666,-0.473779,2.297110,8.982656
1775855243588959343,-0.636491,2.210968,9.001799
1775855243591120020,-0.818345,2.158326,9.001799
1775855243593280749,-0.952343,2.177469,9.020942
1775855243595441426,-1.086342,2.249253,8.997013
1775855243597602156,-1.186840,2.335395,8.982656
1775855243599762833,-1.263410,2.440679,8.973084
1775855243601923562,-1.272982,2.589034,9.020942
1775855243604084239,-1.244268,2.751746,9.121440
1775855243606244968,-1.196411,2.900101,9.226724
1775855243608405645,-1.119841,3.062813,9.399008
1775855243610566322,-1.014557,3.220739,9.628718
1775855243612727051,-0.918844,3.321238,9.858429
1775855243614887728,-0.794417,3.407379,10.107283
1775855243617048458,-0.703490,3.431308,10.322637
1775855243619209135,-0.641276,3.416951,10.399207
1775855243621369864,-0.622134,3.369094,10.346565
1775855243623530541,-0.650848,3.321238,10.183853
1775855243625691270,-0.665205,3.230311,9.973285
1775855243627851947,-0.698704,3.139383,9.791430
1775855243630012624,-0.780060,3.014956,9.580862
1775855243632173353,-0.842274,2.914458,9.355937
1775855243634334031,-0.899701,2.813959,9.198010
1775855243636494760,-0.928415,2.751746,9.064013
1775855243638655489,-0.942772,2.732604,8.977871
1775855243640816166,-0.909273,2.775674,8.953942
1775855243642976843,-0.847059,2.828316,8.944371
1775855243645137572,-0.765703,2.900101,8.973084
1775855243647298249,-0.660419,2.943172,8.992228
1775855243649458978,-0.559920,3.034099,9.054440
1775855243651619656,-0.445065,3.125026,9.131011
1775855243653780385,-0.344566,3.230311,9.193225
1775855243655941062,-0.301496,3.311666,9.279366
1775855243658101739,-0.282353,3.373880,9.355937
1775855243660262468,-0.282353,3.431308,9.403793
1775855243662423145,-0.306281,3.460021,9.446864
1775855243664583874,-0.311067,3.483950,9.509077
1775855243666744551,-0.344566,3.469593,9.566504
1775855243668905281,-0.368495,3.440879,9.614362
1775855243671065958,-0.411565,3.388237,9.619147
1775855243673226687,-0.416351,3.311666,9.647861
1775855243675387364,-0.454636,3.259024,9.614362
1775855243677548041,-0.449851,3.215954,9.600004
1775855243679708770,-0.449851,3.182454,9.623933
1775855243681869447,-0.473779,3.196811,9.604790
1775855243684030176,-0.516850,3.211168,9.552148
1775855243686190906,-0.540778,3.225525,9.523434
1775855243688351583,-0.559920,3.225525,9.475577
1775855243690512260,-0.636491,3.201597,9.442079
1775855243692672989,-0.674776,3.206382,9.327223
1775855243694833666,-0.717847,3.230311,9.169296
1775855243696994343,-0.698704,3.282953,9.006584
1775855243699155072,-0.693919,3.364309,8.886943
1775855243701315801,-0.631705,3.421736,8.805588
1775855243703476478,-0.583849,3.493521,8.762517
1775855243705637156,-0.540778,3.550949,8.748159
1775855243707797885,-0.516850,3.608377,8.748159
1775855243709958562,-0.464208,3.646662,8.767303
1775855243712119291,-0.430708,3.675375,8.776874
1775855243714279968,-0.397209,3.684947,8.786445
1775855243716440697,-0.339781,3.704089,8.815159
1775855243718601374,-0.349352,3.732803,8.824730
1775855243720762103,-0.334995,3.737589,8.786445
1775855243722922781,-0.301496,3.747160,8.743374
1775855243725083510,-0.291924,3.756732,8.738588
1775855243727244187,-0.229711,3.742375,8.743374
1775855243729404916,-0.210568,3.761517,8.729017
1775855243731565593,-0.162712,3.718446,8.772088
1775855243733726322,-0.186640,3.661019,8.796016
1775855243735886999,-0.205783,3.617948,8.877372
1775855243738047676,-0.258425,3.570091,8.973084
1775855243740208406,-0.320638,3.512664,9.044869
1775855243742369083,-0.378066,3.469593,9.092726
1775855243744529812,-0.449851,3.460021,9.107083
1775855243746690489,-0.502493,3.464807,9.111869
1775855243748851218,-0.550349,3.450450,9.087940
1775855243751011895,-0.588634,3.474379,9.044869
1775855243753172572,-0.574277,3.493521,9.020942
1775855243755333301,-0.550349,3.498307,9.011370
