absolute_timestamp,gyro_x,gyro_y,gyro_z
1775859184056,-0.011,-0.002,-0.009
1775859184076,-0.011,-0.006,-0.010
1775859184096,-0.010,-0.004,-0.009
1775859184115,-0.008,0.000,-0.003
1775859184135,-0.005,-0.001,0.000
1775859184155,-0.003,-0.005,0.002
1775859184175,0.000,-0.008,0.001
1775859184194,-0.000,-0.010,0.003
1775859184214,-0.002,-0.007,0.005
1775859184234,-0.002,-0.003,0.005
1775859184254,0.000,-0.001,0.003
1775859184273,0.002,0.001,0.004
1775859184293,0.003,0.004,0.005
1775859184313,0.002,0.005,0.005
1775859184333,0.003,0.005,0.004
1775859184353,0.005,0.003,0.002
1775859184372,0.005,0.000,-0.000
1775859184392,0.003,0.000,-0.003
1775859184412,0.000,-0.000,-0.004
1775859184432,0.000,-0.003,-0.007
1775859184451,-0.000,-0.008,-0.009
1775859184471,-0.002,-0.011,-0.010
1775859184491,-0.004,-0.014,-0.012
1775859184511,-0.003,-0.018,-0.014
1775859184531,-0.003,-0.020,-0.012
1775859184550,-0.000,-0.019,-0.015
1775859184570,0.005,-0.025,-0.020
1775859184590,0.005,-0.024,-0.007
1775859184610,0.005,-0.016,-0.009
1775859184629,0.005,-0.017,-0.012
1775859184649,0.007,-0.020,-0.013
1775859184669,0.007,-0.020,-0.012
1775859184689,0.006,-0.018,-0.008
1775859184709,0.002,-0.018,-0.006
1775859184728,0.002,-0.019,-0.006
1775859184748,0.003,-0.021,-0.006
1775859184768,0.004,-0.021,-0.001
1775859184788,0.004,-0.017,0.000
1775859184807,0.004,-0.017,0.002
1775859184827,0.005,-0.015,0.002
1775859184847,0.008,-0.014,0.004
1775859184867,0.009,-0.011,0.006
1775859184887,0.008,-0.009,0.006
1775859184906,0.007,-0.009,0.006
1775859184926,0.005,-0.008,0.007
1775859184946,0.004,-0.008,0.006
1775859184966,0.005,-0.009,0.006
1775859184985,0.008,-0.009,0.006
1775859185005,0.010,-0.008,0.005
1775859185025,0.013,-0.010,0.003
1775859185045,0.015,-0.015,-0.000
1775859185064,0.013,-0.021,-0.002
1775859185084,0.005,-0.026,-0.004
1775859185104,-0.002,-0.033,-0.010
