absolute_timestamp,accel_x,accel_y,accel_z
1144793600.544,-0.036783,-0.726783,-0.975615
1144793600.554,0.940167,1.112927,-0.741514
1144793600.565,1.701324,2.432038,-0.581545
1144793600.575,1.775871,3.066151,-0.679087
1144793600.585,1.395292,3.081808,-0.749317
1144793600.595,0.783227,2.815637,-0.690792
1144793600.605,0.163315,1.884039,-0.628365
1144793600.615,-0.005395,0.964184,-0.667382
1144793600.625,0.088769,0.940699,-0.729809
1144793600.635,0.308485,0.588414,-0.558135
1144793600.645,0.316332,-0.178785,-0.433281
1144793600.655,0.080922,-1.032097,-0.370854
1144793600.665,-0.205493,-1.955866,-0.347444
1144793600.675,-0.562531,-2.856150,-0.421576
1144793600.685,-0.754782,-3.560720,-0.565938
1144793600.695,-0.676312,-3.944319,-0.784432
1144793600.705,-0.370280,-3.901262,-1.002926
1144793600.715,0.069152,-3.455034,-1.213617
1144793600.725,0.539971,-2.609551,-1.350176
1144793600.735,0.963708,-1.478325,-1.385291
1144793600.745,1.316822,-0.139642,-1.357979
1144793600.755,1.520844,1.214698,-1.213617
1144793600.765,1.587543,2.459438,-1.073157
1144793600.775,1.520844,3.406693,-0.928794
1144793600.785,1.324669,3.899892,-0.827351
1144793600.795,1.042178,3.798121,-0.729809
1144793600.805,0.763610,3.160094,-0.585447
1144793600.815,0.473271,2.091496,-0.433281
1144793600.826,0.194703,0.733242,-0.261607
1144793600.836,-0.115253,-0.691555,-0.148459
1144793600.846,-0.405591,-2.034152,-0.132852
1144793600.856,-0.648848,-3.188864,-0.210886
1144793600.866,-0.746935,-4.003033,-0.409871
1144793600.876,-0.641000,-4.312262,-0.679087
1144793600.886,-0.303580,-4.100891,-0.948303
1144793600.896,0.179009,-3.384577,-1.166797
1144793600.906,0.692987,-2.288580,-1.256535
1144793600.916,1.128494,-0.996868,-1.248732
1144793600.926,1.450221,0.412271,-1.143387
1144793600.936,1.615007,1.739211,-0.987320
1144793600.946,1.622854,2.905666,-0.854663
1144793600.956,1.485532,3.688521,-0.722005
1144793600.966,1.242276,3.950778,-0.628365
1144793600.976,0.951937,3.621978,-0.491807
1144793600.986,0.645905,2.796066,-0.331838
1144793600.996,0.355566,1.617869,-0.179672
1144793601.006,0.057381,0.216557,-0.035310
1144793601.016,-0.232957,-1.180840,0.042723
1144793601.025,-0.495831,-2.484294,0.027117
