absolute_timestamp,accel_x,accel_y,accel_z
1775575326385,-0.092,-0.797,-0.596
1775575326405,-0.092,-0.793,-0.595
1775575326425,-0.093,-0.785,-0.593
1775575326444,-0.094,-0.789,-0.586
1775575326464,-0.091,-0.796,-0.582
1775575326484,-0.097,-0.796,-0.577
1775575326503,-0.094,-0.794,-0.576
1775575326523,-0.095,-0.782,-0.577
1775575326543,-0.097,-0.784,-0.578
1775575326563,-0.100,-0.784,-0.582
1775575326582,-0.103,-0.806,-0.581
1775575326602,-0.106,-0.804,-0.577
1775575326622,-0.102,-0.805,-0.575
1775575326641,-0.102,-0.797,-0.572
1775575326661,-0.104,-0.797,-0.573
1775575326681,-0.101,-0.798,-0.575
1775575326701,-0.096,-0.812,-0.571
1775575326720,-0.100,-0.807,-0.571
1775575326740,-0.094,-0.812,-0.565
1775575326760,-0.096,-0.775,-0.569
1775575326779,-0.096,-0.786,-0.567
1775575326799,-0.101,-0.804,-0.564
1775575326819,-0.101,-0.814,-0.568
1775575326839,-0.102,-0.804,-0.577
1775575326858,-0.096,-0.803,-0.578
1775575326878,-0.095,-0.804,-0.577
1775575326898,-0.095,-0.799,-0.574
1775575326917,-0.093,-0.803,-0.579
1775575326937,-0.088,-0.801,-0.573
1775575326957,-0.079,-0.791,-0.577
1775575326977,-0.080,-0.793,-0.582
1775575326996,-0.078,-0.799,-0.586
1775575327016,-0.078,-0.795,-0.583
1775575327036,-0.077,-0.791,-0.592
1775575327055,-0.072,-0.802,-0.596
1775575327075,-0.070,-0.794,-0.594
1775575327095,-0.068,-0.791,-0.594
1775575327115,-0.067,-0.797,-0.602
1775575327134,-0.063,-0.789,-0.628
1775575327154,-0.045,-0.772,-0.663
1775575327174,-0.043,-0.761,-0.677
1775575327194,-0.045,-0.760,-0.677
1775575327213,-0.050,-0.748,-0.697
1775575327233,-0.024,-0.690,-0.774
1775575327253,-0.008,-0.676,-0.813
1775575327272,-0.039,-0.761,-0.705
1775575327292,-0.070,-0.811,-0.594
1775575327312,-0.072,-0.790,-0.586
1775575327332,-0.065,-0.760,-0.620
1775575327351,-0.055,-0.737,-0.629
1775575327371,-0.038,-0.735,-0.582
1775575327391,-0.044,-0.840,-0.513
1775575327410,-0.027,-0.770,-0.576
1775575327430,-0.018,-0.763,-0.633
1775575327450,-0.005,-0.765,-0.630
1775575327470,0.008,-0.751,-0.616
1775575327489,0.017,-0.737,-0.610
1775575327509,0.020,-0.736,-0.597
1775575327529,0.029,-0.755,-0.594
1775575327548,0.033,-0.748,-0.617
1775575327568,0.036,-0.748,-0.635
1775575327588,0.039,-0.752,-0.628
1775575327608,0.037,-0.755,-0.617
1775575327627,0.039,-0.741,-0.628
1775575327647,0.034,-0.756,-0.642
1775575327667,0.037,-0.766,-0.630
1775575327686,0.043,-0.761,-0.622
1775575327706,0.044,-0.764,-0.623
1775575327726,0.046,-0.768,-0.625
1775575327746,0.048,-0.771,-0.621
1775575327765,0.052,-0.763,-0.612
1775575327785,0.054,-0.758,-0.613
1775575327805,0.058,-0.780,-0.618
1775575327824,0.058,-0.772,-0.622
1775575327844,0.057,-0.759,-0.630
1775575327864,0.058,-0.760,-0.631
1775575327884,0.058,-0.766,-0.624
1775575327903,0.056,-0.754,-0.623
1775575327923,0.054,-0.758,-0.621
1775575327943,0.055,-0.755,-0.625
1775575327962,0.054,-0.766,-0.629
1775575327982,0.053,-0.772,-0.627
1775575328002,0.052,-0.765,-0.625
1775575328022,0.054,-0.761,-0.624
1775575328041,0.056,-0.767,-0.621
1775575328061,0.055,-0.766,-0.625
1775575328081,0.056,-0.768,-0.629
1775575328100,0.058,-0.760,-0.637
