absolute_timestamp,accel_x,accel_y,accel_z
1144509733.386,0.179009,0.212643,-0.757121
1144509733.396,0.131927,0.623642,-0.643972
1144509733.406,-0.036783,0.651042,-0.569840
1144509733.416,-0.197646,0.345729,-0.495708
1144509733.426,-0.362433,-0.347098,-0.366953
1144509733.436,-0.605689,-1.251297,-0.292821
1144509733.446,-0.727317,-1.881495,-0.480101
1144509733.456,-0.542913,-1.634896,-0.495708
1144509733.466,-0.727317,-2.104609,-0.480101
1144509733.477,-0.782246,-2.719150,-0.452790
1144509733.486,-1.001962,-3.294549,-0.503512
1144509733.496,-1.119667,-3.748605,-0.581545
1144509733.506,-1.072585,-4.081319,-0.706399
1144509733.516,-0.966650,-4.171348,-0.870269
1144509733.526,-0.684159,-3.959976,-1.018533
1144509733.536,-0.315351,-3.486349,-1.131682
1144509733.546,0.069152,-2.750465,-1.198010
1144509733.556,0.437960,-1.803210,-1.225322
1144509733.566,0.732222,-0.754183,-1.205813
1144509733.576,0.963708,0.345729,-1.135583
1144509733.586,1.093183,1.410412,-1.045845
1144509733.596,1.120648,2.357667,-0.979516
1144509733.606,1.042178,3.077894,-0.905384
1144509733.616,0.885238,3.449750,-0.846859
1144509733.626,0.669446,3.441922,-0.796137
1144509733.636,0.441883,3.054408,-0.702497
1144509733.646,0.175086,2.357667,-0.620562
1144509733.657,-0.087788,1.402583,-0.511315
1144509733.666,-0.350662,0.279186,-0.402068
1144509733.676,-0.637077,-0.891183,-0.324034
1144509733.686,-0.880334,-1.998924,-0.288919
1144509733.705,-1.307994,-3.881691,-0.433281
1144509733.715,-1.366847,-4.461004,-0.593250
1144509733.726,-1.304071,-4.715432,-0.757121
1144509733.735,-1.072585,-4.641061,-0.975615
1144509733.745,-0.719470,-4.265290,-1.139485
1144509733.755,-0.280039,-3.556806,-1.264339
1144509733.765,0.167239,-2.633036,-1.311159
1144509733.775,0.539971,-1.525296,-1.315060
1144509733.785,0.826385,-0.370584,-1.244830
1144509733.795,1.022560,0.795870,-1.162895
1144509733.805,1.112801,1.848811,-1.045845
1144509733.815,1.101030,2.698209,-0.979516
1144509733.825,0.991172,3.257951,-0.913188
1144509733.835,0.818539,3.531950,-0.839056
1144509733.845,0.610593,3.477150,-0.784432
1144509733.855,0.371260,3.101380,-0.710300
1144509733.865,0.124080,2.443781,-0.593250
1144509733.875,-0.123100,1.574812,-0.484003
1144509733.885,-0.389897,0.521871,-0.366953
1144509733.894,-0.664542,-0.632841,-0.296723
1144509733.905,-0.931339,-1.732753,-0.261607
1144509733.914,-1.147131,-2.758293,-0.273313
1144509733.924,-1.319765,-3.639005,-0.366953
1144509733.935,-1.417852,-4.284861,-0.487905
1144509733.945,-1.378617,-4.625403,-0.643972
1144509733.955,-1.194213,-4.637147,-0.811744
1144509733.964,-0.907798,-4.367061,-0.975615
1144509733.975,-0.507602,-3.822977,-1.088763
1144509733.985,-0.091712,-3.055778,-1.174600
1144509733.995,0.312408,-2.096780,-1.221420
1144509734.004,0.657675,-1.016440,-1.213617
1144509734.014,0.920549,0.110872,-1.139485
1144509734.024,1.065719,1.191212,-1.030238
1144509734.035,1.101030,2.146296,-0.940500
1144509734.045,1.018637,2.886094,-0.858564
1144509734.055,0.889161,3.336236,-0.800039
1144509734.065,0.685140,3.469322,-0.741514
1144509734.074,0.465424,3.281436,-0.679087
1144509734.084,0.241785,2.764752,-0.597152
1144509734.094,-0.013242,1.974068,-0.507413
1144509734.104,-0.260422,0.960270,-0.460593
1144509734.114,-0.511525,-0.092670,-0.363051
1144509734.126,-0.746935,-1.165182,-0.277214
1144509734.134,-0.982344,-2.151580,-0.234296
1144509734.144,-1.198136,-3.047950,-0.238197
1144509734.154,-1.374694,-3.744691,-0.292821
1144509734.164,-1.468857,-4.237890,-0.480101
1144509734.174,-1.425699,-4.480575,-0.714202
1144509734.184,-1.217754,-4.445347,-0.932696
1144509734.194,-0.864640,-4.081319,-1.112173
1144509734.204,-0.421285,-3.490263,-1.240929
1144509734.214,0.025993,-2.676093,-1.303355
1144509734.224,0.379107,-1.674039,-1.295552
1144509734.234,0.665522,-0.566298,-1.225322
1144509734.244,0.853850,0.592328,-1.166797
1144509734.254,0.951937,1.668754,-1.139485
1144509734.264,0.959784,2.553381,-1.057550
1144509734.274,0.889161,3.269694,-1.010730
1144509734.284,0.759686,3.676778,-0.924893
1144509734.294,0.559588,3.731578,-0.823449
1144509734.304,0.288867,3.410608,-0.772727
1144509734.314,-0.025012,2.796066,-0.694694
1144509734.324,-0.319274,2.013211,-0.593250
1144509734.333,-0.535066,1.093356,-0.503512
1144509734.344,-0.715547,0.083472,-0.386461
