absolute_timestamp,accel_x,accel_y,accel_z
1775575328034305263,0.272782,4.426722,9.083155
1775575328036468440,0.239282,4.388437,9.083155
1775575328038629065,0.196211,4.369294,9.049655
1775575328040789794,0.191426,4.340580,8.977871
1775575328042950419,0.181855,4.287938,8.915657
1775575328045111096,0.143569,4.240082,8.848659
1775575328047271721,0.119641,4.201797,8.776874
1775575328049432398,0.076570,4.144369,8.700303
1775575328051593075,0.043071,4.110869,8.618947
1775575328053753752,0.009571,4.053442,8.566305
1775575328055914429,0.009571,4.029513,8.518449
1775575328058075106,0.000000,4.005585,8.489735
1775575328060235731,-0.028714,3.986443,8.484949
1775575328062396409,-0.028714,3.967300,8.504091
1775575328064557086,-0.043071,3.962514,8.508878
1775575328066717763,-0.057428,3.957729,8.504091
1775575328068878388,-0.052642,3.952943,8.528020
1775575328071039065,-0.057428,3.967300,8.547162
1775575328073199742,-0.057428,3.972085,8.547162
1775575328075360419,-0.052642,3.991228,8.551949
1775575328077521096,-0.028714,4.000800,8.542377
1775575328079681721,-0.038285,4.000800,8.575876
1775575328081842398,0.000000,4.010371,8.618947
1775575328084003075,0.038285,4.043870,8.662018
1775575328086163752,0.095713,4.096512,8.743374
1775575328088324429,0.148355,4.144369,8.786445
1775575328090485106,0.186640,4.187439,8.886943
1775575328092645731,0.234497,4.220939,8.953942
1775575328094806409,0.277567,4.259224,9.035298
1775575328096967086,0.301496,4.302295,9.083155
1775575328099127711,0.325424,4.311866,9.111869
1775575328101288388,0.368495,4.316652,9.116654
1775575328103449065,0.382852,4.350152,9.140582
1775575328105609742,0.392423,4.350152,9.140582
1775575328107770367,0.430708,4.354937,9.111869
1775575328109931096,0.425922,4.369294,9.087940
1775575328112091721,0.416351,4.374080,9.068798
1775575328114252398,0.430708,4.364509,9.049655
1775575328116413075,0.425922,4.340580,9.020942
1775575328118573700,0.445065,4.331009,8.982656
1775575328120734377,0.435494,4.316652,8.992228
1775575328122895054,0.411565,4.307081,8.997013
1775575328125055731,0.392423,4.297510,9.011370
1775575328127216409,0.382852,4.264010,9.020942
1775575328129377086,0.358923,4.230510,8.982656
1775575328131537711,0.334995,4.197011,8.977871
1775575328133698388,0.315853,4.168297,8.925228
1775575328135859065,0.301496,4.125226,8.891729
1775575328138019690,0.248854,4.077370,8.853444
1775575328140180419,0.239282,4.015156,8.839087
1775575328142341044,0.200997,3.986443,8.791230
1775575328144501721,0.196211,3.948157,8.781659
1775575328146662398,0.153141,3.924229,8.743374
1775575328148823075,0.138784,3.890730,8.714660
1775575328150983700,0.114855,3.862016,8.695518
1775575328153144377,0.100499,3.833302,8.671589
1775575328155305054,0.066999,3.823730,8.628518
1775575328157465679,0.038285,3.799802,8.609376
1775575328159626356,0.009571,3.775874,8.551949
1775575328161787034,-0.019143,3.775874,8.504091
1775575328163947711,-0.043071,3.766303,8.480164
1775575328166108388,-0.052642,3.785445,8.437093
1775575328168269065,-0.057428,3.756732,8.413164
1775575328170429742,-0.076570,3.766303,8.389236
1775575328172590367,-0.066999,3.747160,8.374879
1775575328174751044,-0.043071,3.751946,8.370093
1775575328176911721,-0.028714,3.732803,8.360522
1775575328179072346,-0.019143,3.737589,8.360522
1775575328181233023,0.009571,3.742375,8.336594
1775575328183393700,0.023928,3.751946,8.341380
1775575328185554377,0.057428,3.771089,8.341380
1775575328187715054,0.114855,3.818945,8.336594
1775575328189875731,0.162712,3.847659,8.312666
1775575328192036356,0.220140,3.876373,8.322237
1775575328194197034,0.267996,3.938586,8.365308
1775575328196357711,0.306281,3.976871,8.374879
1775575328198518388,0.368495,4.048656,8.403593
1775575328200679013,0.401994,4.101298,8.451449
1775575328202839690,0.440279,4.149155,8.494520
1775575328205000367,0.459422,4.206582,8.556734
1775575328207161044,0.478565,4.254439,8.604590
1775575328209321669,0.492921,4.278367,8.666803
1775575328211482346,0.535992,4.302295,8.748159
1775575328213643023,0.555135,4.326223,8.791230
1775575328215803700,0.583849,4.335794,8.839087
1775575328217964377,0.598206,4.345366,8.886943
1775575328220125002,0.631705,4.354937,8.949157
1775575328222285679,0.674776,4.369294,9.006584
1775575328224446356,0.689133,4.354937,9.059227
1775575328226607034,0.698704,4.359723,9.097511
1775575328228767659,0.717847,4.335794,9.145369
