absolute_timestamp,accel_x,accel_y,accel_z
1775856275054,0.007,-0.804,-0.553
1775856275074,0.016,-0.812,-0.548
1775856275093,0.015,-0.812,-0.539
1775856275113,0.012,-0.838,-0.518
1775856275133,0.016,-0.854,-0.495
1775856275153,0.001,-0.851,-0.477
1775856275172,-0.002,-0.871,-0.453
1775856275192,-0.005,-0.883,-0.430
1775856275212,-0.014,-0.889,-0.416
1775856275232,-0.016,-0.900,-0.400
1775856275251,-0.020,-0.901,-0.402
1775856275271,-0.025,-0.891,-0.390
1775856275291,-0.027,-0.904,-0.372
1775856275311,-0.025,-0.900,-0.355
1775856275331,-0.027,-0.920,-0.352
1775856275350,-0.027,-0.915,-0.358
1775856275370,-0.031,-0.911,-0.364
1775856275390,-0.032,-0.920,-0.358
1775856275410,-0.035,-0.931,-0.358
1775856275429,-0.047,-0.918,-0.367
1775856275449,-0.051,-0.931,-0.362
1775856275469,-0.057,-0.958,-0.351
1775856275489,-0.065,-0.960,-0.331
1775856275508,-0.078,-0.946,-0.311
1775856275528,-0.087,-0.922,-0.293
1775856275548,-0.111,-0.926,-0.283
1775856275568,-0.121,-0.940,-0.286
1775856275587,-0.140,-0.957,-0.274
1775856275607,-0.147,-0.961,-0.267
1775856275627,-0.159,-0.975,-0.275
1775856275647,-0.160,-0.993,-0.287
1775856275666,-0.162,-0.972,-0.300
1775856275686,-0.159,-0.961,-0.303
1775856275706,-0.152,-0.978,-0.304
1775856275726,-0.140,-0.980,-0.278
1775856275745,-0.135,-0.975,-0.257
1775856275765,-0.133,-0.950,-0.246
1775856275785,-0.127,-0.942,-0.250
1775856275805,-0.131,-0.975,-0.242
1775856275824,-0.125,-0.973,-0.235
1775856275844,-0.138,-0.947,-0.235
1775856275864,-0.138,-0.926,-0.239
1775856275884,-0.140,-0.950,-0.229
1775856275903,-0.131,-0.952,-0.220
1775856275923,-0.132,-0.938,-0.224
1775856275943,-0.121,-0.944,-0.228
1775856275963,-0.125,-0.938,-0.225
1775856275982,-0.123,-0.909,-0.233
1775856276002,-0.132,-0.902,-0.245
1775856276022,-0.147,-0.921,-0.255
1775856276042,-0.159,-0.931,-0.277
1775856276062,-0.179,-0.929,-0.278
1775856276081,-0.190,-0.942,-0.286
1775856276101,-0.208,-0.947,-0.307
1775856276121,-0.221,-0.964,-0.312
1775856276141,-0.233,-0.952,-0.309
1775856276160,-0.229,-0.953,-0.309
1775856276180,-0.234,-0.957,-0.307
1775856276200,-0.234,-0.949,-0.298
1775856276220,-0.227,-0.946,-0.297
1775856276239,-0.221,-0.934,-0.296
1775856276259,-0.225,-0.928,-0.286
1775856276279,-0.212,-0.924,-0.279
1775856276299,-0.213,-0.919,-0.278
1775856276318,-0.208,-0.922,-0.278
1775856276338,-0.212,-0.925,-0.281
1775856276358,-0.209,-0.926,-0.277
1775856276378,-0.214,-0.918,-0.295
1775856276397,-0.214,-0.937,-0.305
1775856276417,-0.210,-0.942,-0.296
1775856276437,-0.210,-0.939,-0.313
1775856276457,-0.210,-0.929,-0.316
1775856276476,-0.212,-0.931,-0.325
1775856276496,-0.202,-0.931,-0.334
1775856276516,-0.205,-0.934,-0.331
1775856276536,-0.205,-0.931,-0.333
1775856276555,-0.202,-0.933,-0.343
1775856276575,-0.197,-0.940,-0.334
1775856276595,-0.199,-0.928,-0.342
1775856276615,-0.200,-0.924,-0.354
1775856276634,-0.200,-0.940,-0.344
1775856276654,-0.198,-0.940,-0.330
1775856276674,-0.197,-0.931,-0.343
1775856276694,-0.195,-0.924,-0.340
1775856276713,-0.200,-0.926,-0.336
1775856276733,-0.198,-0.930,-0.332
1775856276753,-0.203,-0.935,-0.328
1775856276773,-0.201,-0.927,-0.334
1775856276793,-0.198,-0.932,-0.333
1775856276812,-0.192,-0.927,-0.333
1775856276832,-0.195,-0.934,-0.330
1775856276852,-0.193,-0.927,-0.336
1775856276872,-0.191,-0.919,-0.339
1775856276891,-0.190,-0.933,-0.337
1775856276911,-0.185,-0.938,-0.335
1775856276931,-0.189,-0.937,-0.337
1775856276951,-0.187,-0.930,-0.338
1775856276970,-0.183,-0.933,-0.337
1775856276990,-0.184,-0.940,-0.334
1775856277010,-0.182,-0.922,-0.326
1775856277030,-0.183,-0.921,-0.343
1775856277049,-0.180,-0.948,-0.335
1775856277069,-0.180,-0.936,-0.325
1775856277089,-0.180,-0.930,-0.328
1775856277109,-0.178,-0.928,-0.324
1775856277128,-0.180,-0.923,-0.322
1775856277148,-0.181,-0.927,-0.325
1775856277168,-0.177,-0.929,-0.315
1775856277188,-0.180,-0.930,-0.314
1775856277207,-0.181,-0.920,-0.319
1775856277227,-0.178,-0.945,-0.310
1775856277247,-0.182,-0.927,-0.308
1775856277267,-0.181,-0.922,-0.328
1775856277286,-0.179,-0.935,-0.319
1775856277306,-0.184,-0.943,-0.309
1775856277326,-0.181,-0.931,-0.317
1775856277346,-0.182,-0.923,-0.319
1775856277365,-0.184,-0.930,-0.316
1775856277385,-0.180,-0.935,-0.316
1775856277405,-0.186,-0.932,-0.319
1775856277425,-0.183,-0.931,-0.320
1775856277445,-0.183,-0.933,-0.328
1775856277464,-0.182,-0.931,-0.322
1775856277484,-0.184,-0.933,-0.319
1775856277504,-0.179,-0.930,-0.320
1775856277524,-0.181,-0.926,-0.321
1775856277543,-0.185,-0.923,-0.322
1775856277563,-0.180,-0.930,-0.317
1775856277583,-0.185,-0.930,-0.317
1775856277603,-0.187,-0.928,-0.319
1775856277622,-0.189,-0.930,-0.318
1775856277642,-0.185,-0.938,-0.323
1775856277662,-0.185,-0.935,-0.322
1775856277682,-0.186,-0.931,-0.326
1775856277701,-0.188,-0.914,-0.334
1775856277721,-0.191,-0.943,-0.326
1775856277741,-0.189,-0.944,-0.332
1775856277761,-0.190,-0.934,-0.347
1775856277780,-0.184,-0.921,-0.348
1775856277800,-0.188,-0.927,-0.348
1775856277820,-0.184,-0.930,-0.353
1775856277840,-0.186,-0.929,-0.362
1775856277859,-0.184,-0.928,-0.373
1775856277879,-0.185,-0.926,-0.377
1775856277899,-0.186,-0.938,-0.385
1775856277919,-0.193,-0.934,-0.386
1775856277938,-0.203,-0.941,-0.377
1775856277958,-0.200,-0.949,-0.376
1775856277978,-0.200,-0.929,-0.361
1775856277998,-0.196,-0.920,-0.345
1775856278017,-0.187,-0.911,-0.339
1775856278037,-0.187,-0.895,-0.327
1775856278057,-0.189,-0.873,-0.308
1775856278077,-0.214,-0.894,-0.297
