absolute_timestamp,gyro_x,gyro_y,gyro_z
1775858372078,0.003,0.002,0.000
1775858372098,0.004,0.002,-0.000
1775858372118,0.001,0.000,0.001
1775858372138,0.003,-0.001,-0.001
1775858372157,0.002,-0.002,0.001
1775858372177,0.002,-0.000,0.001
1775858372197,0.000,-0.001,-0.000
1775858372217,0.000,-0.004,-0.002
1775858372236,-0.001,-0.004,-0.001
1775858372256,0.000,-0.004,0.000
1775858372276,0.001,-0.003,-0.001
1775858372296,0.001,-0.004,-0.002
1775858372315,-0.000,-0.005,-0.000
1775858372335,-0.001,-0.004,0.000
1775858372355,-0.000,-0.002,-0.001
1775858372375,0.001,-0.003,-0.002
1775858372395,0.002,-0.001,-0.001
1775858372414,0.002,0.000,0.001
1775858372434,0.002,0.001,0.000
1775858372454,0.004,0.000,-0.000
1775858372474,0.003,-0.001,0.001
1775858372493,0.004,-0.000,0.003
1775858372513,0.006,-0.001,0.001
1775858372533,0.006,0.001,0.001
1775858372553,0.005,0.001,0.002
1775858372572,0.005,0.001,0.002
1775858372592,0.004,0.001,0.002
1775858372612,0.003,0.000,0.002
1775858372632,0.004,-0.001,-0.000
1775858372652,0.003,-0.003,-0.001
1775858372671,0.001,-0.002,0.000
1775858372691,0.000,-0.003,-0.001
1775858372711,0.000,-0.002,0.000
1775858372731,0.000,-0.001,0.002
1775858372750,0.001,-0.001,0.001
1775858372770,0.002,-0.001,0.000
1775858372790,0.002,-0.002,0.000
1775858372810,0.001,-0.002,-0.000
1775858372830,-0.001,-0.002,-0.001
1775858372849,-0.006,0.000,-0.000
1775858372869,-0.014,0.001,0.003
1775858372889,-0.024,0.001,0.004
1775858372909,-0.035,-0.007,-0.005
1775858372928,-0.052,-0.029,-0.013
1775858372948,-0.080,-0.058,-0.021
1775858372968,-0.115,-0.081,-0.030
1775858372988,-0.128,-0.112,-0.036
1775858373007,-0.126,-0.147,-0.039
1775858373027,-0.120,-0.171,-0.031
1775858373047,-0.114,-0.182,-0.017
1775858373067,-0.109,-0.183,-0.007
1775858373087,-0.101,-0.176,-0.005
1775858373106,-0.085,-0.162,-0.010
1775858373126,-0.070,-0.139,-0.010
1775858373146,-0.054,-0.109,-0.011
1775858373166,-0.042,-0.078,-0.016
1775858373185,-0.030,-0.051,-0.021
1775858373205,-0.020,-0.026,-0.023
1775858373225,-0.010,-0.003,-0.028
1775858373245,0.000,0.013,-0.031
1775858373265,0.011,0.024,-0.030
1775858373284,0.023,0.033,-0.026
1775858373304,0.033,0.042,-0.015
1775858373324,0.045,0.050,-0.002
1775858373344,0.059,0.057,0.008
1775858373363,0.071,0.062,0.019
1775858373383,0.079,0.067,0.024
1775858373403,0.083,0.066,0.030
1775858373423,0.090,0.063,0.033
1775858373442,0.094,0.058,0.031
1775858373462,0.093,0.052,0.024
1775858373482,0.093,0.043,0.022
1775858373502,0.088,0.035,0.017
1775858373521,0.085,0.028,0.009
1775858373541,0.082,0.023,0.002
1775858373561,0.079,0.019,0.000
1775858373581,0.079,0.015,-0.001
1775858373601,0.074,0.012,0.000
1775858373620,0.062,0.013,0.002
1775858373640,0.052,0.014,0.004
1775858373660,0.044,0.014,0.004
1775858373680,0.038,0.015,0.004
1775858373699,0.033,0.017,0.005
1775858373719,0.028,0.021,0.007
1775858373739,0.023,0.023,0.008
1775858373759,0.020,0.025,0.009
1775858373778,0.019,0.024,0.006
1775858373798,0.016,0.025,0.005
1775858373818,0.012,0.024,0.008
1775858373838,0.010,0.022,0.006
1775858373858,0.008,0.019,0.003
1775858373877,0.005,0.015,0.006
1775858373897,0.002,0.012,0.007
1775858373917,0.002,0.009,0.003
1775858373937,0.002,0.004,0.004
1775858373956,0.002,0.002,0.005
1775858373976,0.002,0.001,0.004
1775858373996,0.002,0.000,0.003
1775858374016,0.002,0.000,0.002
1775858374035,0.003,0.000,0.002
1775858374055,0.004,0.000,0.002
1775858374075,0.003,0.001,0.001
1775858374095,0.000,0.002,0.000
1775858374115,0.001,0.002,-0.001
1775858374134,0.001,0.001,0.000
1775858374154,0.001,0.001,0.000
1775858374174,0.001,0.000,0.000
1775858374194,0.000,0.001,0.000
1775858374213,0.001,0.001,-0.000
1775858374233,0.002,0.000,0.000
1775858374253,0.003,0.000,0.000
1775858374273,0.004,0.001,0.000
1775858374292,0.004,0.001,-0.001
1775858374312,0.006,0.002,-0.002
1775858374332,0.007,0.002,-0.002
1775858374352,0.008,0.002,-0.002
1775858374371,0.007,0.004,0.000
1775858374391,0.004,0.004,0.003
1775858374411,0.002,0.005,0.001
1775858374431,0.003,0.003,-0.003
1775858374451,0.002,0.002,-0.003
1775858374470,0.001,0.002,-0.001
1775858374490,0.001,0.002,0.001
1775858374510,0.002,0.001,0.000
1775858374530,0.003,-0.000,-0.002
1775858374549,0.002,-0.001,-0.005
1775858374569,0.001,-0.001,-0.001
1775858374589,0.000,0.000,0.000
1775858374609,0.001,-0.000,-0.002
1775858374628,0.002,-0.001,-0.002
1775858374648,0.000,-0.000,0.000
1775858374668,0.002,-0.000,0.000
1775858374707,0.000,-0.000,0.000
1775858374727,-0.000,0.001,0.001
1775858374747,0.002,0.000,0.003
1775858374767,0.002,0.000,0.002
1775858374786,-0.001,0.002,0.001
1775858374806,-0.001,0.000,0.001
1775858374826,-0.001,0.001,0.002
1775858374846,-0.002,0.002,0.002
1775858374866,-0.003,0.002,0.000
1775858374885,-0.003,0.002,0.000
1775858374905,-0.001,0.001,-0.001
1775858374925,0.000,0.000,0.000
1775858374945,0.000,-0.001,0.000
1775858374964,0.001,-0.002,0.000
1775858374984,0.003,-0.004,-0.002
1775858375004,0.004,-0.005,-0.002
1775858375024,0.003,-0.005,-0.002
1775858375043,0.003,-0.003,-0.000
1775858375063,0.002,-0.001,0.001
1775858375083,0.004,-0.000,0.002
1775858375103,0.003,0.000,0.003
1775858375122,0.001,0.003,0.002
1775858375142,0.000,0.003,0.002
1775858375162,0.001,0.002,0.001
1775858375182,0.000,0.003,0.002
1775858375202,0.002,0.003,0.003
1775858375221,0.002,0.003,0.001
1775858375241,0.002,0.002,-0.000
1775858375261,0.002,0.002,0.000
1775858375281,0.001,0.002,0.002
1775858375300,-0.000,0.002,-0.000
1775858375320,-0.002,0.001,-0.001
1775858375340,-0.003,0.000,-0.001
1775858375360,-0.002,0.001,0.002
1775858375379,0.000,0.000,0.000
1775858375399,0.000,0.001,-0.002
1775858375419,-0.000,0.001,-0.001
1775858375439,0.001,0.001,0.001
1775858375459,0.003,0.002,0.002
1775858375478,0.003,0.001,0.000
1775858375498,0.001,0.000,-0.002
1775858375518,0.000,0.000,-0.000
1775858375538,0.001,0.000,0.000
1775858375557,0.001,-0.001,-0.000
1775858375577,0.001,0.000,0.001
1775858375597,0.000,0.000,0.000
1775858375617,0.001,-0.000,-0.002
1775858375636,0.000,-0.001,-0.001
1775858375656,0.000,-0.000,-0.000
1775858375676,0.001,0.000,-0.000
1775858375696,0.003,0.000,0.000
1775858375716,0.005,-0.000,-0.000
1775858375735,0.006,0.000,-0.002
1775858375755,0.006,0.000,-0.001
1775858375775,0.009,0.000,0.000
1775858375795,0.009,-0.000,0.001
1775858375814,0.006,0.000,0.004
1775858375834,0.009,0.000,0.001
1775858375854,0.011,-0.001,-0.001
1775858375874,0.012,-0.002,-0.002
1775858375893,0.015,-0.001,-0.001
1775858375913,0.024,-0.001,-0.000
1775858375933,0.033,-0.002,-0.009
1775858375953,0.042,-0.004,-0.011
1775858375973,0.052,-0.002,-0.002
1775858375992,0.062,-0.001,0.004
1775858376012,0.071,-0.002,-0.000
1775858376032,0.069,-0.004,-0.015
1775858376052,0.061,-0.001,-0.024
1775858376071,0.044,0.005,-0.029
1775858376091,0.032,0.017,-0.017
1775858376111,0.026,0.022,-0.007
1775858376131,0.021,0.020,-0.013
1775858376150,0.012,0.018,-0.016
1775858376170,0.010,0.016,-0.008
1775858376190,0.023,0.013,-0.008
1775858376210,0.035,0.006,-0.009
1775858376229,0.040,0.004,0.005
1775858376249,0.044,0.003,0.008
1775858376269,0.046,-0.002,0.004
1775858376289,0.043,-0.010,0.001
1775858376308,0.037,-0.016,-0.005
1775858376328,0.037,-0.023,-0.010
1775858376348,0.039,-0.034,-0.011
1775858376368,0.037,-0.040,-0.014
1775858376388,0.028,-0.044,-0.013
1775858376407,0.024,-0.047,-0.011
1775858376427,0.023,-0.048,-0.009
1775858376447,0.026,-0.045,-0.003
1775858376467,0.028,-0.041,0.002
1775858376486,0.032,-0.037,0.006
1775858376506,0.033,-0.031,0.008
1775858376526,0.034,-0.026,0.005
1775858376546,0.033,-0.023,0.005
1775858376565,0.031,-0.018,0.002
1775858376585,0.030,-0.017,0.000
1775858376605,0.027,-0.014,0.004
1775858376625,0.028,-0.011,0.006
1775858376644,0.031,-0.011,0.001
1775858376664,0.033,-0.015,-0.004
1775858376684,0.036,-0.015,-0.004
1775858376704,0.035,-0.014,-0.006
1775858376724,0.030,-0.016,-0.007
1775858376743,0.026,-0.014,-0.001
1775858376763,0.024,-0.011,0.006
1775858376783,0.022,-0.008,0.011
1775858376803,0.022,-0.007,0.014
1775858376822,0.025,-0.006,0.021
1775858376842,0.027,-0.003,0.027
1775858376862,0.028,-0.002,0.031
1775858376882,0.030,-0.002,0.027
1775858376901,0.029,0.000,0.021
1775858376921,0.027,0.001,0.015
1775858376941,0.025,0.002,0.008
1775858376961,0.021,0.003,0.001
1775858376981,0.020,0.003,-0.001
1775858377000,0.019,0.001,-0.007
1775858377020,0.019,-0.000,-0.007
1775858377040,0.016,0.000,-0.010
1775858377060,0.012,-0.000,-0.012
1775858377079,0.006,-0.002,-0.013
1775858377099,-0.001,-0.001,-0.017
1775858377119,-0.004,-0.002,-0.017
1775858377139,-0.005,-0.005,-0.011
1775858377158,-0.002,-0.004,-0.004
1775858377178,0.004,-0.004,-0.003
1775858377198,0.007,-0.006,-0.001
1775858377218,0.001,-0.001,0.005
1775858377238,-0.000,0.005,0.009
1775858377257,-0.001,0.006,0.013
1775858377277,-0.000,0.009,0.014
1775858377297,0.000,0.013,0.019
1775858377317,0.001,0.015,0.017
1775858377336,0.003,0.016,0.010
1775858377356,0.010,0.011,0.003
1775858377376,0.015,0.004,-0.000
1775858377396,0.013,0.001,-0.002
1775858377415,0.009,-0.001,0.000
1775858377435,0.006,-0.004,-0.000
1775858377455,0.001,-0.004,-0.002
1775858377475,-0.002,-0.001,-0.002
1775858377494,-0.004,0.004,0.002
1775858377514,-0.002,0.010,0.005
1775858377534,-0.001,0.015,0.008
1775858377554,-0.007,0.023,0.011
1775858377574,-0.011,0.031,0.010
1775858377593,-0.011,0.039,0.003
1775858377613,-0.010,0.044,-0.004
1775858377633,-0.012,0.056,0.008
1775858377653,-0.011,0.070,0.021
1775858377672,-0.017,0.081,0.017
1775858377692,-0.034,0.098,0.009
1775858377712,-0.047,0.114,0.007
1775858377732,-0.062,0.130,0.003
1775858377751,-0.087,0.146,0.006
1775858377771,-0.125,0.167,0.004
1775858377791,-0.170,0.189,0.000
1775858377811,-0.222,0.212,0.007
1775858377831,-0.281,0.235,0.021
1775858377850,-0.334,0.258,0.018
1775858377870,-0.375,0.270,0.022
1775858377890,-0.393,0.266,0.041
1775858377910,-0.400,0.259,0.052
1775858377929,-0.412,0.254,0.053
1775858377949,-0.432,0.246,0.047
1775858377969,-0.436,0.232,0.055
1775858377989,-0.424,0.213,0.077
1775858378008,-0.430,0.206,0.092
1775858378028,-0.439,0.204,0.086
1775858378048,-0.433,0.194,0.089
1775858378068,-0.416,0.179,0.103
1775858378088,-0.383,0.175,0.106
1775858378107,-0.371,0.174,0.094
1775858378127,-0.377,0.182,0.090
1775858378147,-0.373,0.191,0.086
1775858378167,-0.343,0.188,0.078
1775858378186,-0.311,0.179,0.078
1775858378206,-0.296,0.176,0.076
1775858378226,-0.261,0.169,0.077
1775858378246,-0.216,0.142,0.075
1775858378266,-0.194,0.121,0.075
1775858378285,-0.199,0.110,0.075
1775858378305,-0.212,0.104,0.082
1775858378325,-0.223,0.093,0.094
1775858378345,-0.242,0.096,0.106
1775858378364,-0.256,0.111,0.120
1775858378384,-0.239,0.123,0.136
1775858378404,-0.214,0.128,0.152
1775858378424,-0.203,0.134,0.164
1775858378443,-0.191,0.138,0.169
1775858378463,-0.145,0.130,0.163
1775858378483,-0.094,0.115,0.154
1775858378503,-0.071,0.104,0.154
1775858378522,-0.064,0.098,0.150
1775858378542,-0.066,0.093,0.145
1775858378562,-0.071,0.092,0.143
1775858378582,-0.080,0.092,0.136
1775858378602,-0.088,0.090,0.120
1775858378621,-0.088,0.086,0.104
1775858378641,-0.082,0.079,0.091
1775858378661,-0.079,0.077,0.079
1775858378681,-0.083,0.075,0.060
1775858378700,-0.084,0.069,0.042
1775858378720,-0.083,0.062,0.031
1775858378740,-0.076,0.053,0.023
1775858378760,-0.069,0.046,0.018
1775858378779,-0.067,0.039,0.017
1775858378799,-0.062,0.031,0.018
1775858378819,-0.060,0.029,0.008
1775858378839,-0.057,0.028,-0.002
1775858378859,-0.057,0.029,-0.009
1775858378878,-0.050,0.031,-0.007
1775858378898,-0.034,0.037,-0.003
1775858378918,-0.020,0.045,0.006
1775858378938,-0.010,0.053,0.013
1775858378957,0.000,0.060,0.012
1775858378977,-0.003,0.063,0.013
1775858378997,-0.009,0.067,0.009
1775858379017,-0.012,0.073,0.009
1775858379037,-0.018,0.077,0.009
1775858379056,-0.018,0.075,0.003
1775858379076,-0.016,0.068,-0.004
1775858379096,-0.010,0.058,-0.009
1775858379116,0.000,0.044,-0.016
1775858379135,0.012,0.029,-0.021
1775858379155,0.020,0.013,-0.013
1775858379175,0.030,-0.001,-0.005
1775858379195,0.038,-0.008,-0.000
1775858379214,0.039,-0.007,0.003
1775858379234,0.030,-0.002,0.005
1775858379254,0.017,0.002,0.004
1775858379274,0.009,0.005,-0.010
1775858379294,0.006,0.007,-0.024
1775858379313,0.008,0.000,-0.026
1775858379333,0.018,-0.010,-0.021
1775858379353,0.028,-0.020,-0.015
1775858379373,0.040,-0.023,-0.003
1775858379392,0.044,-0.022,0.018
1775858379412,0.041,-0.014,0.032
1775858379432,0.024,-0.003,0.027
1775858379452,0.006,0.008,0.009
1775858379472,0.001,0.013,-0.005
1775858379491,0.005,0.009,-0.000
1775858379511,0.005,0.009,0.003
1775858379531,0.007,0.009,-0.003
1775858379551,0.008,0.003,-0.004
1775858379570,0.006,0.000,-0.003
1775858379590,0.008,0.000,0.003
1775858379610,0.009,0.001,0.007
1775858379630,0.009,0.008,0.001
1775858379649,0.007,0.013,-0.012
