absolute_timestamp,accel_x,accel_y,accel_z
1144792791.314,-0.064247,-0.456698,-0.714202
1144792791.324,0.512506,-0.570212,-1.041943
1144792791.334,0.645905,-0.143556,-1.151190
1144792791.344,0.728298,0.545357,-1.186305
1144792791.355,0.755763,1.602211,-1.217519
1144792791.364,0.849926,2.944809,-1.084862
1144792791.374,0.794998,3.989921,-0.768826
1144792791.384,0.641981,2.475095,-0.881974
1144792791.394,0.594900,2.052353,-1.002926
1144792791.404,0.520353,2.279382,-0.909286
1144792791.414,0.359490,2.193267,-0.811744
1144792791.424,0.116233,1.711811,-0.667382
1144792791.434,-0.095635,0.874156,-0.530823
1144792791.444,-0.291810,-0.237499,-0.429380
1144792791.454,-0.535066,-1.501810,-0.394265
1144792791.464,-0.805787,-2.676093,-0.448888
1144792791.474,-1.009809,-3.631177,-0.624464
1144792791.484,-1.076508,-4.210490,-0.924893
1144792791.494,-0.876410,-4.280947,-1.272142
1144792791.504,-0.421285,-3.776005,-1.607686
1144792791.515,0.112310,-2.730893,-1.767655
1144792791.524,0.598823,-1.317839,-1.794967
1144792791.535,1.018637,0.314414,-1.674015
1144792791.545,1.297205,1.927096,-1.490636
1144792791.555,1.363904,3.289265,-1.303355
1144792791.565,1.238352,4.146492,-1.162895
1144792791.575,0.975478,4.346120,-1.119977
1144792791.585,0.689063,3.833349,-1.018533
1144792791.595,0.386954,2.733437,-0.831253
1144792791.606,0.076999,1.343869,-0.612759
1144792791.615,-0.291810,-0.202270,-0.499610
1144792791.625,-0.660618,-1.775810,-0.468396
1144792791.636,-0.998038,-3.165378,-0.601053
1144792791.645,-1.170672,-4.147862,-0.819547
1144792791.655,-1.080432,-4.476661,-1.158993
1144792791.665,-0.739088,-4.128290,-1.432111
1144792791.675,-0.256498,-3.192778,-1.595981
1144792791.685,0.241785,-1.916724,-1.627195
1144792791.695,0.657675,-0.441041,-1.498439
1144792791.705,0.908779,1.175555,-1.330667
1144792791.715,0.999019,2.631666,-1.131682
1144792791.725,0.889161,3.680693,-0.960008
1144792791.735,0.685140,4.123006,-0.776629
1144792791.745,0.383031,3.927292,-0.663480
1144792791.755,0.037764,3.179665,-0.495708
1144792791.765,-0.229034,1.942754,-0.324034
1144792791.776,-0.495831,0.392700,-0.175771
1144792791.785,-0.813634,-1.212154,-0.171869
1144792791.795,-1.131437,-2.730893,-0.265509
1144792791.805,-1.406081,-3.959976,-0.511315
1144792791.816,-1.468857,-4.496232,-0.885876
1144792791.826,-1.186366,-4.453176,-1.182403
1144792791.836,-0.648848,-3.799491,-1.408701
1144792791.846,-0.091712,-2.605637,-1.514046
1144792791.856,0.394801,-1.133868,-1.478931
1144792791.866,0.728298,0.482728,-1.357979
1144792791.876,0.873467,2.079753,-1.198010
1144792791.885,0.865620,3.363636,-1.034140
1144792791.896,0.751839,4.123006,-0.956106
1144792791.906,0.559588,4.244349,-0.881974
1144792791.917,0.324179,3.653293,-0.741514
1144792791.926,-0.017165,2.666895,-0.651775
1144792791.936,-0.338892,1.332126,-0.468396
1144792791.946,-0.660618,-0.249242,-0.296723
1144792791.956,-1.013732,-1.697524,-0.366953
1144792791.966,-1.288377,-2.942264,-0.554233
1144792791.976,-1.410005,-3.846462,-0.784432
1144792791.986,-1.288377,-4.288776,-1.026336
1144792791.996,-0.927415,-4.124377,-1.295552
1144792792.005,-0.444826,-3.306292,-1.525751
1144792792.016,0.029917,-2.014580,-1.584276
1144792792.025,0.422266,-0.558469,-1.443816
1144792792.036,0.649828,1.015070,-1.213617
1144792792.046,0.736145,2.541638,-1.006828
1144792792.056,0.673369,3.794206,-0.831253
1144792792.066,0.508583,4.451805,-0.757121
1144792792.076,0.261403,4.424405,-0.682989
1144792792.086,-0.005395,3.845092,-0.581545
1144792792.096,-0.276116,2.682552,-0.390363
1144792792.106,-0.586072,1.124670,-0.218689
1144792792.116,-0.970574,-0.444955,-0.183574
1144792792.126,-1.347229,-1.908895,-0.109442
1144792792.136,-1.637568,-3.118406,-0.210886
1144792792.147,-1.763119,-3.913005,-0.523020
1144792792.157,-1.578715,-4.210490,-0.913188
1144792792.167,-1.092202,-3.979548,-1.178502
1144792792.177,-0.542913,-3.083178,-1.365782
1144792792.187,-0.001471,-1.791467,-1.428209
1144792792.197,0.355566,-0.319699,-1.424307
1144792792.207,0.551741,1.336041,-1.373586
1144792792.217,0.641981,2.878266,-1.264339
1144792792.227,0.630211,3.982092,-1.096566
1144792792.237,0.524277,4.522262,-1.038041
1144792792.247,0.300638,4.365691,-0.854663
1144792792.257,-0.028936,3.692436,-0.725907
1144792792.267,-0.389897,2.533809,-0.534725
1144792792.277,-0.746935,1.069870,-0.413773
1144792792.287,-1.029426,-0.499755,-0.331838
1144792792.297,-1.268759,-1.963695,-0.316231
1144792792.306,-1.429622,-3.208435,-0.511315
1144792792.317,-1.284453,-2.918778,-0.835154
1144792792.327,-1.021579,-2.135923,-0.932696
1144792792.337,-0.774399,-1.173011,-0.979516
1144792792.347,-0.644924,-0.863783,-0.963910
1144792792.357,-0.566454,-0.621098,-0.979516
1144792792.367,-0.397744,-0.374498,-0.983418
1144792792.377,-0.382050,-0.084842,-1.018533
1144792792.387,-0.280039,0.150015,-0.960008
1144792792.397,-0.264345,0.279186,-0.975615
1144792792.407,-0.260422,0.333986,-0.967811
1144792792.417,-0.287886,0.337900,-0.948303
1144792792.427,-0.358509,0.306586,-0.967811
1144792792.437,-0.378127,0.204815,-0.979516
1144792792.447,-0.362433,0.126529,-0.999025
1144792792.457,-0.354586,0.146100,-0.975615
1144792792.467,-0.354586,0.189157,-0.932696
1144792792.477,-0.366356,0.216557,-0.928794
1144792792.487,-0.338892,0.216557,-0.956106
1144792792.497,-0.315351,0.200900,-1.053648
1144792792.507,-0.311427,0.165672,-1.104370
1144792792.518,-0.299657,0.177415,-1.104370
1144792792.528,-0.303580,0.243957,-1.073157
1144792792.538,-0.327121,0.314414,-1.041943
1144792792.548,-0.346739,0.349643,-1.034140
1144792792.558,-0.331045,0.357471,-1.041943
1144792792.568,-0.323198,0.357471,-0.991221
1144792792.578,-0.334968,0.341814,-0.975615
1144792792.588,-0.370280,0.298757,-0.967811
1144792792.598,-0.413438,0.220472,-0.987320
1144792792.608,-0.468367,0.208729,-0.920991
1144792792.618,-0.507602,0.216557,-0.878073
1144792792.628,-0.484061,0.216557,-0.850761
1144792792.638,-0.476214,0.216557,-0.819547
1144792792.648,-0.476214,0.263529,-0.764924
1144792792.658,-0.464443,0.279186,-0.725907
1144792792.668,-0.440902,0.247872,-0.682989
1144792792.678,-0.401668,0.224386,-0.698595
1144792792.688,-0.378127,0.224386,-0.729809
1144792792.698,-0.370280,0.200900,-0.803941
1144792792.708,-0.358509,0.142186,-0.866368
1144792792.718,-0.346739,0.083472,-0.932696
1144792792.728,-0.358509,0.063901,-0.967811
1144792792.738,-0.327121,0.067815,-0.987320
1144792792.748,-0.327121,0.071729,-0.952205
1144792792.758,-0.315351,0.130443,-0.975615
1144792792.768,-0.319274,0.224386,-0.913188
1144792792.778,-0.327121,0.263529,-0.893679
1144792792.789,-0.334968,0.247872,-0.870269
1144792792.799,-0.350662,0.228300,-0.835154
1144792792.809,-0.346739,0.228300,-0.772727
1144792792.819,-0.338892,0.240043,-0.722005
1144792792.829,-0.327121,0.212643,-0.682989
1144792792.839,-0.338892,0.196986,-0.729809
1144792792.849,-0.354586,0.138272,-0.807842
1144792792.859,-0.331045,0.024758,-0.920991
1144792792.869,-0.311427,-0.077013,-0.987320
1144792792.878,-0.315351,-0.057442,-1.010730
1144792792.889,-0.311427,0.048243,-0.979516
1144792792.899,-0.303580,0.110872,-0.944401
1144792792.909,-0.291810,0.118700,-0.905384
1144792792.918,-0.295733,0.138272,-0.881974
1144792792.929,-0.299657,0.177415,-0.854663
1144792792.939,-0.307504,0.177415,-0.823449
1144792792.950,-0.295733,0.142186,-0.831253
1144792792.959,-0.256498,0.044329,-0.835154
1144792792.969,-0.225110,-0.030042,-0.885876
1144792792.979,-0.189799,-0.037871,-0.924893
1144792792.989,-0.158411,-0.022214,-0.956106
1144792792.999,-0.178028,0.009101,-0.967811
1144792793.009,-0.197646,0.020844,-0.963910
