absolute_timestamp,accel_x,accel_y,accel_z
1775858375624358751,0.870987,1.770689,6.695118
1775858375626519949,0.851845,1.861616,6.479764
1775858375628680470,0.799203,1.923829,6.355337
1775858375630841043,0.756132,1.971686,6.259624
1775858375633001511,0.756132,2.086541,6.297909
1775858375635162032,0.631705,1.938186,6.417551
1775858375637322553,0.588634,1.823331,6.460621
1775858375639483126,0.665205,1.799403,6.695118
1775858375641643647,0.784846,1.837688,7.063612
1775858375643804168,0.923630,1.856830,7.451250
1775858375645964688,1.019342,1.780260,7.867601
1775858375648125209,1.086342,1.698904,8.288737
1775858375650285730,1.191626,1.722832,8.719446
1775858375652446251,1.205983,1.679762,9.221938
1775858375654606772,1.186840,1.612762,9.705289
1775858375656767293,1.153340,1.550549,10.078569
1775858375658927813,1.076770,1.483550,10.360922
1775858375661088334,1.014557,1.421337,10.638490
1775858375663248855,0.937986,1.363909,10.849058
1775858375665409376,0.880559,1.335195,11.011770
1775858375667569897,0.837488,1.349552,11.083554
1775858375669730418,0.832702,1.330409,11.207981
1775858375671890938,0.794417,1.316052,11.418550
1775858375674051459,0.770489,1.277767,11.404193
1775858375676211980,0.784846,1.268196,11.284552
1775858375678372553,0.799203,1.234697,11.150554
1775858375680533022,0.851845,1.225125,11.026127
1775858375682693543,0.894916,1.196411,10.863415
1775858375684854116,0.937986,1.196411,10.671989
1775858375687014636,0.976272,1.191626,10.432707
1775858375689175157,1.028914,1.162912,10.169497
1775858375691335678,1.052842,1.162912,9.949356
1775858375693496199,1.076770,1.153340,9.714860
1775858375695656720,1.086342,1.143769,9.489935
1775858375697817241,1.086342,1.172483,9.269794
1775858375699977761,1.110270,1.201197,9.083155
1775858375702138282,1.095913,1.225125,8.944371
1775858375704298803,1.086342,1.258625,8.796016
1775858375706459376,1.071985,1.306481,8.695518
1775858375708619845,1.048056,1.339981,8.580662
1775858375710780366,1.048056,1.368695,8.441878
1775858375712940886,1.048056,1.411765,8.355737
1775858375715101407,1.033699,1.435694,8.288737
1775858375717261928,1.043271,1.430908,8.250452
1775858375719422449,1.052842,1.464407,8.231310
1775858375721582970,1.048056,1.464407,8.236095
