absolute_timestamp,accel_x,accel_y,accel_z
1144301159.902,-0.005395,-0.875526,-0.967811
1144301159.912,0.092693,-0.848126,-1.030238
1144301159.923,0.296714,-0.417555,-1.104370
1144301159.932,0.606670,0.290929,-1.104370
1144301159.942,0.767533,0.784128,-1.116075
1144301159.952,0.967631,1.496526,-1.069255
1144301159.962,1.034331,2.169782,-0.963910
1144301159.972,0.692987,1.261669,-1.006828
1144301159.982,0.657675,1.089441,-0.948303
1144301159.992,0.622364,1.657011,-0.913188
1144301160.003,0.583129,2.111068,-0.913188
1144301160.012,0.555665,2.377238,-0.866368
1144301160.023,0.371260,2.471181,-0.846859
1144301160.033,0.277097,2.377238,-0.827351
1144301160.042,0.128004,2.032782,-0.784432
1144301160.052,-0.072094,1.563069,-0.722005
1144301160.062,-0.205493,0.940699,-0.671284
1144301160.072,-0.370280,0.153929,-0.616660
1144301160.082,-0.535066,-0.656326,-0.573742
1144301160.092,-0.676312,-1.482239,-0.585447
1144301160.102,-0.821481,-2.269008,-0.585447
1144301160.112,-0.915645,-2.910950,-0.608857
1144301160.122,-0.974497,-3.415892,-0.710300
1144301160.132,-0.947033,-3.713377,-0.831253
1144301160.142,-0.786170,-3.803405,-0.956106
1144301160.152,-0.542913,-3.666405,-1.077058
1144301160.162,-0.232957,-3.333692,-1.178502
1144301160.172,0.112310,-2.773950,-1.279945
1144301160.182,0.536047,-2.053723,-1.315060
1144301160.192,0.897008,-1.286525,-1.338471
1144301160.202,1.069642,-0.413641,-1.295552
1144301160.212,1.175576,0.474900,-1.237027
1144301160.222,1.234429,1.547412,-1.198010
1144301160.232,1.273664,2.118896,-1.123878
1144301160.242,1.359980,2.843037,-1.123878
1144301160.252,1.246199,3.438007,-1.038041
1144301160.262,1.006866,3.715921,-0.963910
1144301160.272,0.743992,3.602407,-0.917089
1144301160.282,0.524277,3.089637,-0.827351
1144301160.293,0.304561,2.271553,-0.757121
1144301160.302,0.029917,1.242098,-0.640070
1144301160.312,-0.244728,0.095215,-0.511315
1144301160.322,-0.546837,-1.055583,-0.444986
1144301160.332,-0.770476,-2.190723,-0.405970
1144301160.342,-0.970574,-3.196692,-0.456691
1144301160.352,-1.080432,-3.897348,-0.577643
1144301160.362,-1.041197,-4.218319,-0.757121
1144301160.372,-0.825405,-4.202662,-0.928794
1144301160.382,-0.456596,-3.826891,-1.116075
1144301160.392,-0.013242,-3.153635,-1.252634
1144301160.402,0.434036,-2.245523,-1.322864
1144301160.412,0.818539,-1.180840,-1.334569
1144301160.422,1.120648,-0.018299,-1.295552
1144301160.432,1.312899,1.140327,-1.233125
1144301160.442,1.399215,2.193267,-1.155092
1144301160.452,1.352133,3.066151,-1.104370
1144301160.462,1.199117,3.657207,-1.057550
1144301160.473,0.987249,3.868578,-1.018533
1144301160.482,0.736145,3.672864,-1.006828
1144301160.492,0.461501,3.148351,-0.862466
1144301160.502,0.163315,2.373324,-0.651775
1144301160.512,-0.193722,1.226441,-0.581545
1144301160.522,-0.252575,-0.319699,-0.659579
1144301160.532,-0.460520,-1.173011,-0.542528
1144301160.542,-0.723394,-1.951952,-0.448888
1144301160.552,-0.943109,-2.879636,-0.554233
1144301160.563,-1.139284,-3.807319,-0.753219
1144301160.572,-1.009809,-4.210490,-0.936598
1144301160.582,-0.731241,-4.057833,-1.088763
1144301160.592,-0.382050,-3.623348,-1.233125
1144301160.602,0.045611,-3.000978,-1.373586
1144301160.612,0.485042,-2.143752,-1.412602
1144301160.622,0.893085,-1.082983,-1.400897
1144301160.632,1.171653,0.075643,-1.342372
1144301160.642,1.356057,1.218612,-1.256535
1144301160.652,1.430603,2.263724,-1.170698
1144301160.662,1.395292,3.101380,-1.116075
1144301160.672,1.250123,3.668950,-1.073157
1144301160.682,1.030407,3.860749,-1.030238
1144301160.692,0.771457,3.665035,-0.983418
1144301160.702,0.516430,3.120951,-0.909286
1144301160.712,0.269250,2.314610,-0.800039
1144301160.722,-0.001471,1.289069,-0.655677
1144301160.732,-0.244728,0.193072,-0.546430
1144301160.742,-0.491908,-0.926411,-0.456691
1144301160.754,-0.711623,-1.963695,-0.429380
1144301160.762,-0.903874,-2.899207,-0.480101
1144301160.772,-1.025503,-3.627263,-0.589348
1144301160.782,-0.998038,-4.057833,-0.733711
1144301160.792,-0.821481,-4.132205,-0.917089
1144301160.802,-0.487984,-3.869948,-1.088763
1144301160.812,-0.076018,-3.310206,-1.221420
1144301160.822,0.363413,-2.499951,-1.299454
