absolute_timestamp,accel_x,accel_y,accel_z
1775502673311,-0.293,-0.711,-0.653
1775502673330,-0.292,-0.714,-0.646
1775502673350,-0.299,-0.713,-0.642
1775502673370,-0.306,-0.718,-0.636
1775502673390,-0.320,-0.744,-0.618
1775502673409,-0.321,-0.760,-0.587
1775502673429,-0.312,-0.743,-0.591
1775502673449,-0.304,-0.724,-0.621
1775502673468,-0.299,-0.723,-0.634
1775502673488,-0.296,-0.732,-0.633
1775502673508,-0.289,-0.732,-0.626
1775502673527,-0.277,-0.733,-0.623
1775502673547,-0.269,-0.730,-0.627
1775502673567,-0.262,-0.739,-0.634
1775502673586,-0.256,-0.728,-0.631
1775502673606,-0.251,-0.739,-0.614
1775502673626,-0.242,-0.738,-0.612
1775502673645,-0.237,-0.735,-0.617
1775502673665,-0.233,-0.739,-0.610
1775502673685,-0.228,-0.753,-0.606
1775502673705,-0.229,-0.734,-0.596
1775502673724,-0.224,-0.734,-0.593
1775502673744,-0.218,-0.733,-0.588
1775502673764,-0.225,-0.763,-0.582
1775502673783,-0.224,-0.771,-0.579
1775502673803,-0.224,-0.773,-0.567
1775502673823,-0.220,-0.772,-0.545
1775502673842,-0.220,-0.767,-0.533
1775502673862,-0.218,-0.744,-0.543
1775502673882,-0.215,-0.727,-0.557
1775502673901,-0.217,-0.755,-0.551
1775502673921,-0.218,-0.740,-0.541
1775502673941,-0.217,-0.731,-0.544
1775502673960,-0.217,-0.758,-0.563
1775502673980,-0.219,-0.771,-0.584
1775502674000,-0.222,-0.770,-0.586
1775502674020,-0.223,-0.763,-0.562
1775502674039,-0.226,-0.779,-0.552
1775502674059,-0.232,-0.796,-0.579
1775502674079,-0.231,-0.788,-0.603
1775502674098,-0.223,-0.784,-0.602
1775502674118,-0.211,-0.774,-0.589
1775502674138,-0.204,-0.765,-0.581
1775502674157,-0.195,-0.775,-0.565
1775502674177,-0.189,-0.771,-0.556
1775502674197,-0.181,-0.782,-0.557
1775502674216,-0.185,-0.788,-0.553
1775502674236,-0.178,-0.798,-0.547
1775502674256,-0.172,-0.799,-0.523
