absolute_timestamp,accel_x,accel_y,accel_z
1144437077.113,-0.028936,-0.789412,-0.905384
1144437077.134,0.665522,-0.315784,-1.127780
1144437077.142,0.900932,0.302671,-1.182403
1144437077.153,1.006866,1.140327,-1.139485
1144437077.163,1.152035,2.079753,-1.127780
1144437077.172,1.195194,2.608181,-1.038041
1144437077.182,0.716528,1.449555,-1.143387
1144437077.192,0.720451,1.833154,-1.057550
1144437077.202,0.732222,2.263724,-1.026336
1144437077.212,0.622364,2.659066,-1.092665
1144437077.222,0.555665,2.980037,-0.936598
1144437077.232,0.677293,3.171837,-0.842958
1144437077.242,0.598823,3.132694,-0.800039
1144437077.252,0.414419,2.709952,-0.768826
1144437077.262,0.167239,2.118896,-0.718104
1144437077.272,-0.001471,1.324298,-0.612759
1144437077.282,-0.170181,0.396614,-0.507413
1144437077.292,-0.433055,-0.601527,-0.456691
1144437077.302,-0.676312,-1.677953,-0.441085
1144437077.312,-0.899951,-2.664351,-0.464495
1144437077.322,-1.076508,-3.494177,-0.562037
1144437077.332,-1.127514,-4.069576,-0.706399
1144437077.342,-1.052967,-4.335747,-0.889778
1144437077.352,-0.821481,-4.210490,-1.080960
1144437077.362,-0.480137,-3.791662,-1.221420
1144437077.372,-0.087788,-3.075350,-1.365782
1144437077.382,0.304561,-2.202466,-1.424307
1144437077.392,0.689063,-1.176925,-1.400897
1144437077.402,0.995096,-0.033956,-1.357979
1144437077.411,1.206964,1.136412,-1.279945
1144437077.422,1.324669,2.208925,-1.209715
1144437077.431,1.320745,3.128780,-1.143387
1144437077.441,1.238352,3.786378,-1.080960
1144437077.451,1.077489,4.111263,-1.034140
1144437077.461,0.869544,4.111263,-0.975615
1144437077.471,0.638058,3.766807,-0.905384
1144437077.481,0.394801,3.120951,-0.823449
1144437077.491,0.167239,2.255896,-0.718104
1144437077.501,-0.068171,1.249926,-0.593250
1144437077.511,-0.334968,0.150015,-0.507413
1144437077.521,-0.574301,-1.000783,-0.441085
1144437077.531,-0.817558,-2.096780,-0.409871
1144437077.540,-1.009809,-3.024464,-0.464495
1144437077.551,-1.139284,-3.713377,-0.558135
1144437077.561,-1.166748,-4.151776,-0.718104
1144437077.570,-1.041197,-4.284861,-0.920991
1144437077.581,-0.778323,-4.104805,-1.084862
1144437077.591,-0.417361,-3.611606,-1.256535
1144437077.601,0.010299,-2.844407,-1.365782
1144437077.611,0.410495,-1.916724,-1.377487
1144437077.622,0.747916,-0.899012,-1.393094
1144437077.631,1.006866,0.236129,-1.315060
1144437077.641,1.195194,1.367355,-1.256535
1144437077.651,1.297205,2.381153,-1.205813
1144437077.660,1.281511,3.222722,-1.123878
1144437077.670,1.187347,3.841178,-1.080960
1144437077.680,1.018637,4.169977,-1.041943
1144437077.690,0.806768,4.138663,-0.987320
1144437077.700,0.579206,3.766807,-0.920991
1144437077.710,0.339873,3.109208,-0.835154
1144437077.720,0.116233,2.224581,-0.725907
1144437077.730,-0.127023,1.210784,-0.628365
1144437077.740,-0.362433,0.106958,-0.526922
1144437077.750,-0.601766,-0.989040,-0.472298
1144437077.760,-0.829328,-2.038066,-0.456691
1144437077.770,-1.025503,-2.950093,-0.507413
1144437077.780,-1.131437,-3.623348,-0.643972
1144437077.790,-1.131437,-4.003033,-0.792236
1144437077.800,-1.001962,-4.081319,-0.960008
1144437077.810,-0.743011,-3.842548,-1.123878
1144437077.820,-0.378127,-3.306292,-1.283847
1144437077.830,0.010299,-2.570408,-1.377487
1144437077.840,0.422266,-1.642724,-1.412602
1144437077.850,0.767533,-0.593698,-1.436013
1144437077.859,1.042178,0.533614,-1.416504
1144437077.870,1.234429,1.641354,-1.357979
1144437077.880,1.297205,2.674723,-1.272142
1144437077.890,1.261893,3.512379,-1.244830
1144437077.900,1.101030,4.083863,-1.233125
1144437077.910,0.873467,4.353948,-1.252634
1144437077.920,0.677293,4.299148,-1.237027
1144437077.929,0.477195,3.923378,-1.186305
1144437077.939,0.273173,3.265779,-1.080960
1144437077.949,0.092693,2.498581,-0.975615
1144437077.958,-0.072094,1.660926,-0.827351
1144437077.969,-0.256498,0.776299,-0.671284
1144437077.979,-0.436979,-0.127899,-0.562037
1144437077.989,-0.625306,-1.043840,-0.476200
1144437077.999,-0.794017,-1.846267,-0.464495
1144437078.009,-0.935262,-2.468637,-0.491807
1144437078.019,-1.021579,-2.934436,-0.585447
1144437078.029,-1.060814,-3.243664,-0.671284
1144437078.039,-1.001962,-3.392406,-0.772727
1144437078.049,-0.888181,-3.365006,-0.897581
1144437078.059,-0.676312,-3.114492,-1.049746
1144437078.069,-0.405591,-2.629122,-1.162895
1144437078.079,-0.083865,-2.065466,-1.201912
1144437078.091,0.190780,-1.431353,-1.256535
1144437078.098,0.461501,-0.695469,-1.252634
1144437078.108,0.700834,0.091301,-1.233125
1144437078.118,0.641981,0.494471,-1.018533
1144437078.128,0.347719,0.275272,-0.811744
1144437078.139,0.116233,0.287014,-0.807842
1144437078.149,0.124080,0.435757,-0.862466
1144437078.159,0.120157,0.470985,-0.975615
1144437078.169,0.096616,0.431843,-1.014631
1144437078.179,0.092693,0.377043,-1.010730
1144437078.189,0.057381,0.408357,-1.010730
1144437078.199,0.061305,0.435757,-0.936598
1144437078.208,0.041687,0.463157,-0.928794
1144437078.218,0.010299,0.502300,-0.932696
1144437078.228,-0.009318,0.486643,-0.983418
1144437078.238,-0.017165,0.459243,-1.034140
1144437078.248,-0.005395,0.439671,-1.186305
1144437078.258,-0.005395,0.467071,-1.346274
1144437078.268,0.018146,0.525785,-1.404799
1144437078.279,0.025993,0.580585,-1.447717
1144437078.288,0.022070,0.521871,-1.400897
1144437078.298,0.022070,0.463157,-1.334569
1144437078.308,0.018146,0.424014,-1.272142
1144437078.318,0.010299,0.400528,-1.299454
1144437078.328,0.022070,0.365300,-1.315060
1144437078.338,0.073075,0.416186,-1.303355
1144437078.348,0.104463,0.510128,-1.326766
1144437078.358,0.124080,0.600157,-1.326766
1144437078.368,0.139774,0.643214,-1.311159
1144437078.378,0.139774,0.709756,-1.330667
1144437078.388,0.084846,0.701928,-1.283847
1144437078.398,0.041687,0.568842,-1.256535
1144437078.408,-0.017165,0.478814,-1.221420
1144437078.418,-0.052477,0.490557,-1.182403
1144437078.428,-0.068171,0.533614,-1.104370
1144437078.437,-0.111329,0.588414,-1.096566
1144437078.447,-0.166258,0.576671,-1.073157
1144437078.457,-0.193722,0.576671,-1.038041
1144437078.467,-0.197646,0.588414,-0.940500
1144437078.477,-0.201569,0.545357,-0.800039
1144437078.487,-0.225110,0.502300,-0.714202
1144437078.497,-0.260422,0.478814,-0.753219
1144437078.507,-0.307504,0.416186,-0.749317
1144437078.517,-0.303580,0.384871,-0.757121
1144437078.527,-0.287886,0.361386,-0.772727
1144437078.537,-0.323198,0.341814,-0.729809
1144437078.547,-0.346739,0.322243,-0.663480
1144437078.560,-0.378127,0.357471,-0.620562
1144437078.567,-0.397744,0.392700,-0.538627
1144437078.577,-0.429132,0.326157,-0.507413
1144437078.587,-0.460520,0.243957,-0.499610
1144437078.597,-0.484061,0.165672,-0.554233
1144437078.607,-0.515449,0.095215,-0.558135
1144437078.617,-0.550760,0.087386,-0.589348
1144437078.627,-0.586072,0.134358,-0.542528
1144437078.637,-0.609613,0.165672,-0.487905
1144437078.647,-0.633154,0.181329,-0.452790
1144437078.657,-0.641000,0.126529,-0.425478
1144437078.667,-0.664542,0.040415,-0.495708
1144437078.677,-0.688082,-0.049613,-0.507413
1144437078.687,-0.699853,-0.045699,-0.519118
1144437078.697,-0.719470,-0.006556,-0.472298
1144437078.706,-0.723394,0.016929,-0.409871
1144437078.716,-0.739088,-0.006556,-0.417675
1144437078.726,-0.743011,-0.065271,-0.429380
1144437078.736,-0.746935,-0.057442,-0.460593
1144437078.748,-0.715547,-0.030042,-0.495708
1144437078.756,-0.715547,0.024758,-0.534725
1144437078.766,-0.699853,0.056072,-0.554233
1144437078.776,-0.668465,0.005186,-0.554233
1144437078.786,-0.633154,-0.061356,-0.534725
1144437078.797,-0.637077,-0.092670,-0.487905
1144437078.806,-0.664542,-0.108328,-0.452790
1144437078.817,-0.699853,-0.108328,-0.398166
1144437078.826,-0.719470,-0.100499,-0.335739
1144437078.836,-0.692006,-0.033956,-0.234296
1144437078.846,-0.688082,-0.018299,-0.160164
1144437078.856,-0.719470,-0.026128,-0.082130
1144437078.866,-0.746935,-0.018299,-0.097737
1144437078.875,-0.778323,-0.006556,-0.125049
1144437078.886,-0.805787,-0.030042,-0.132852
1144437078.896,-0.801864,-0.014385,-0.148459
