absolute_timestamp,accel_x,accel_y,accel_z
1775502669633405053,-0.138784,3.239882,11.720045
1775502669635566146,-0.210568,3.077170,11.442478
1775502669637726511,-0.287139,2.885744,11.160125
1775502669639886823,-0.368495,2.713461,10.853844
1775502669642047188,-0.449851,2.550749,10.571490
1775502669644207501,-0.535992,2.397608,10.313066
1775502669646367865,-0.631705,2.311467,10.083355
1775502669648528178,-0.732204,2.258825,9.848858
1775502669650688542,-0.818345,2.239682,9.657433
1775502669652848855,-0.928415,2.215754,9.480363
1775502669655009167,-1.014557,2.239682,9.322437
1775502669657169532,-1.129412,2.297110,9.221938
1775502669659329896,-1.205983,2.364109,9.116654
1775502669661490209,-1.277767,2.445465,8.997013
1775502669663650573,-1.330409,2.531606,8.906086
1775502669665810938,-1.392623,2.632105,8.824730
1775502669667971251,-1.421337,2.718246,8.776874
1775502669670131563,-1.445265,2.847459,8.762517
1775502669672291928,-1.435694,2.952743,8.733803
1775502669674452240,-1.440479,3.053242,8.729017
1775502669676612605,-1.435694,3.163311,8.714660
1775502669678772917,-1.402194,3.263810,8.719446
1775502669680933282,-1.344766,3.330809,8.724232
1775502669683093594,-1.306481,3.407379,8.738588
1775502669685253959,-1.272982,3.479164,8.776874
1775502669687414271,-1.210768,3.541378,8.815159
1775502669689574636,-1.167697,3.594020,8.853444
1775502669691735001,-1.100698,3.637090,8.910872
1775502669693895313,-1.057628,3.656233,8.977871
1775502669696055626,-1.019342,3.684947,9.016156
1775502669698215990,-0.981057,3.704089,9.049655
1775502669700376355,-0.961915,3.694518,9.073584
1775502669702536667,-0.914058,3.704089,9.126225
1775502669704696980,-0.904487,3.684947,9.140582
1775502669706857344,-0.870987,3.684947,9.154940
1775502669709017709,-0.875773,3.675375,9.150154
1775502669711178021,-0.870987,3.661019,9.154940
1775502669713338386,-0.847059,3.641876,9.145369
1775502669715498698,-0.851845,3.613162,9.159725
1775502669717659011,-0.827917,3.579663,9.154940
1775502669719819376,-0.813560,3.546163,9.135797
1775502669721979740,-0.799203,3.512664,9.121440
1775502669724140053,-0.789631,3.483950,9.116654
1775502669726300417,-0.799203,3.455236,9.059227
1775502669728460730,-0.799203,3.426522,8.992228
1775502669730621042,-0.789631,3.388237,8.939586
1775502669732781407,-0.780060,3.369094,8.824730
1775502669734941771,-0.756132,3.349952,8.729017
1775502669737102136,-0.760918,3.349952,8.628518
1775502669739262448,-0.756132,3.369094,8.484949
1775502669741422761,-0.727418,3.378666,8.370093
1775502669743583126,-0.713061,3.407379,8.245667
1775502669745743438,-0.674776,3.436093,8.092526
1775502669747903803,-0.650848,3.479164,7.968100
1775502669750064115,-0.622134,3.536592,7.867601
1775502669752224428,-0.588634,3.584448,7.771888
1775502669754384792,-0.569492,3.641876,7.680961
1775502669756545157,-0.540778,3.680161,7.594819
1775502669758705469,-0.521635,3.723232,7.561319
1775502669760865782,-0.488136,3.771089,7.551748
1775502669763026198,-0.464208,3.790231,7.570891
1775502669765186511,-0.449851,3.838088,7.628319
1775502669767346823,-0.416351,3.871587,7.661818
1775502669769507188,-0.378066,3.909872,7.633104
1775502669771667501,-0.349352,3.924229,7.652247
1775502669773827865,-0.296710,3.957729,7.422536
1775502669775988178,-0.311067,3.948157,7.479964
1775502669778148542,-0.320638,3.943372,7.623533
1775502669780308907,-0.354138,3.924229,7.714460
1775502669782469167,-0.330210,3.871587,7.771888
1775502669784629584,-0.296710,3.814159,7.905886
1775502669786789896,-0.244068,3.747160,8.063812
1775502669788950209,-0.196211,3.680161,8.212168
1775502669791110573,-0.200997,3.632305,8.370093
1775502669793270938,-0.157926,3.565306,8.561520
1775502669795431251,-0.129212,3.507878,8.671589
1775502669797591563,-0.124427,3.440879,8.915657
1775502669799751928,-0.086142,3.369094,9.212367
1775502669801912240,-0.066999,3.345166,9.480363
1775502669804072605,-0.019143,3.326024,9.695718
1775502669806232969,0.038285,3.282953,9.853643
1775502669808393282,0.090927,3.263810,10.016356
1775502669810553646,0.148355,3.249453,10.135997
1775502669812713959,0.224925,3.230311,10.145568
1775502669814874323,0.296710,3.220739,10.188639
1775502669817034636,0.339781,3.187240,10.183853
1775502669819194948,0.378066,3.153740,10.159925
1775502669821355313,0.401994,3.110669,10.107283
1775502669823515678,0.440279,3.067599,10.102497
1775502669825675990,0.449851,3.019742,10.064212
1775502669827836355,0.468993,3.000600,10.045070
1775502669829996667,0.492921,3.019742,10.045070
1775502669832156980,0.521635,3.024528,10.073783
1775502669834317344,0.531207,3.029314,10.116854
1775502669836477709,0.507278,3.010171,10.174282
1775502669838638021,0.488136,2.976671,10.246066
1775502669840798386,0.454636,2.919244,10.322637
1775502669842958698,0.430708,2.857030,10.384851
1775502669845119063,0.392423,2.823531,10.447063
1775502669847279376,0.339781,2.794817,10.528419
1775502669849439740,0.344566,2.746960,10.566705
1775502669851600053,0.344566,2.718246,10.585847
1775502669853760417,0.363709,2.679961,10.576276
1775502669855920730,0.373280,2.660819,10.576276
1775502669858081094,0.392423,2.632105,10.523634
1775502669860241407,0.411565,2.526821,10.432707
1775502669862401771,0.459422,2.416751,10.269995
1775502669864562084,0.492921,2.311467,10.078569
1775502669866722448,0.521635,2.210968,9.848858
1775502669868882813,0.588634,2.234896,9.566504
1775502669871043126,0.650848,2.196611,9.260223
1775502669873203438,0.698704,2.143969,8.997013
1775502669875363803,0.727418,2.182254,8.700303
1775502669877524115,0.784846,2.277967,8.508878
1775502669879684480,0.780060,2.392823,8.374879
1775502669881844792,0.765703,2.478964,8.303095
1775502669884005157,0.784846,2.617748,8.245667
1775502669886165469,0.693919,2.684747,8.221739
1775502669888325834,0.655633,2.785246,8.164310
1775502669890486146,0.583849,2.866601,8.164310
1775502669892646511,0.459422,2.924029,8.130812
1775502669894806876,0.421137,2.981457,8.092526
1775502669896967188,0.358923,2.919244,8.025527
1775502669899127501,0.363709,2.727818,7.925029
1775502669901287865,0.425922,1.799403,7.647461
1775502669903448178,0.440279,0.794417,7.518249
1775502669905608542,0.445065,0.717847,7.503892
1775502669907768855,0.397209,0.789631,7.652247
1775502669909929219,0.315853,0.928415,7.881958
1775502669912089532,0.244068,1.105484,8.154739
1775502669914249896,0.129212,1.282553,8.398808
1775502669916410261,0.052642,1.488336,8.642876
1775502669918570573,0.000000,1.641476,8.863015
1775502669920730938,0.023928,1.799403,9.020942
1775502669922891251,0.047856,1.928615,9.154940
1775502669925051615,0.057428,2.014757,9.308080
1775502669927211928,0.066999,2.120041,9.351151
1775502669929372292,0.090927,2.182254,9.336794
1775502669931532605,0.129212,2.230111,9.250652
1775502669933692969,0.200997,2.258825,9.226724
1775502669935853282,0.253639,2.292324,9.198010
1775502669938013646,0.248854,2.311467,9.212367
1775502669940173959,0.315853,2.292324,9.116654
1775502669942334323,0.378066,2.230111,9.073584
1775502669944494636,0.459422,2.206182,9.092726
1775502669946655001,0.545564,2.134398,9.068798
1775502669948815313,0.626920,2.105684,9.030513
1775502669950975626,0.713061,2.048256,8.963513
1775502669953135990,0.823131,1.986043,8.839087
1775502669955296355,0.918844,1.947758,8.671589
1775502669957456667,0.981057,1.890330,8.494520
1775502669959616980,1.009771,1.852045,8.298309
1775502669961777344,1.043271,1.823331,8.078169
1775502669963937709,1.043271,1.808974,7.915457
