time,seconds_elapsed,z,y,x,local_time
1775952488346456600,0.07145654296875,-0.012554673478007317,-0.04385081306099892,0.01967250369489193,2026-04-11T19:08:08.346-05:00
1775952488356514800,0.081514892578125,-0.013439375907182693,-0.016079368069767952,0.0010972223244607449,2026-04-11T19:08:08.356-05:00
1775952488366572500,0.091572509765625,-0.012495552189648151,-0.007819040678441525,-0.026644127443432808,2026-04-11T19:08:08.366-05:00
1775952488376629800,0.101629638671875,-0.02082671783864498,-0.013904363848268986,-0.054061636328697205,2026-04-11T19:08:08.376-05:00
1775952488386687500,0.1116875,-0.023379091173410416,-0.029254024848341942,-0.06177521497011185,2026-04-11T19:08:08.386-05:00
1775952488396745700,0.121745849609375,-0.017519870772957802,-0.04465748369693756,-0.054897602647542953,2026-04-11T19:08:08.396-05:00
1775952488406803700,0.1318037109375,-0.008800681680440903,-0.07110586762428284,-0.043892357498407364,2026-04-11T19:08:08.406-05:00
1775952488416860700,0.141860595703125,0.002709500025957823,-0.08388637751340866,-0.02719406969845295,2026-04-11T19:08:08.416-05:00
1775952488426918700,0.151918701171875,0.011572233401238918,-0.08080776035785675,-0.00860041193664074,2026-04-11T19:08:08.426-05:00
1775952488436976600,0.1619765625,0.010716826654970646,-0.06619739532470703,0.0030250847339630127,2026-04-11T19:08:08.436-05:00
1775952488447033600,0.17203369140625,0.008697884157299995,-0.053463492542505264,0.009410812519490719,2026-04-11T19:08:08.447-05:00
1775952488457091600,0.182091552734375,0.0041097900830209255,-0.027879834175109863,0.017305754125118256,2026-04-11T19:08:08.457-05:00
1775952488467149800,0.19214990234375,-0.0013171994360163808,-0.005298358853906393,0.01456056721508503,2026-04-11T19:08:08.467-05:00
1775952488477207800,0.202207763671875,-0.006410228554159403,0.0018402442801743746,0.0016223976854234934,2026-04-11T19:08:08.477-05:00
1775952488487264800,0.2122646484375,-0.014699850231409073,-0.00013555490295402706,-0.017604559659957886,2026-04-11T19:08:08.487-05:00
1775952488497322500,0.222322509765625,-0.02142566256225109,0.0000900148443179205,-0.02755839005112648,2026-04-11T19:08:08.497-05:00
1775952488507380700,0.232380615234375,-0.01924959383904934,-0.012269715778529644,-0.026796193793416023,2026-04-11T19:08:08.507-05:00
1775952488517437700,0.242437744140625,-0.012600746937096119,-0.013511281460523605,-0.016623983159661293,2026-04-11T19:08:08.517-05:00
1775952488527495700,0.25249560546875,-0.011604458093643188,-0.01107475534081459,-0.0073290192522108555,2026-04-11T19:08:08.527-05:00
1775952488537553700,0.2625537109375,-0.010743724182248116,-0.006488792132586241,-0.001502555445767939,2026-04-11T19:08:08.537-05:00
1775952488547611600,0.272611572265625,-0.00866006687283516,-0.00791384931653738,-0.0007552724564447999,2026-04-11T19:08:08.547-05:00
1775952488557668900,0.2826689453125,-0.0138404481112957,-0.006454437039792538,-0.011549063958227634,2026-04-11T19:08:08.557-05:00
1775952488567726600,0.2927265625,-0.017180850729346275,0.003653324441984296,-0.028144553303718567,2026-04-11T19:08:08.567-05:00
1775952488577784600,0.30278466796875,-0.014851383864879608,0.0017933726776391268,-0.03485438600182533,2026-04-11T19:08:08.577-05:00
1775952488587841500,0.312841552734375,-0.01576271839439869,-0.014492922462522984,-0.028814071789383888,2026-04-11T19:08:08.587-05:00
1775952488597899800,0.322899658203125,-0.01732972078025341,-0.02208213321864605,-0.018091119825839996,2026-04-11T19:08:08.597-05:00
