absolute_timestamp,accel_x,accel_y,accel_z
1775850908704,-0.182,-0.926,-0.344
1775850908724,-0.180,-0.919,-0.346
1775850908743,-0.178,-0.925,-0.342
1775850908763,-0.181,-0.923,-0.340
1775850908783,-0.182,-0.914,-0.347
1775850908803,-0.184,-0.928,-0.347
1775850908822,-0.181,-0.930,-0.342
1775850908842,-0.180,-0.928,-0.349
1775850908862,-0.178,-0.922,-0.347
1775850908882,-0.179,-0.925,-0.343
1775850908902,-0.176,-0.927,-0.342
1775850908921,-0.177,-0.928,-0.349
1775850908941,-0.178,-0.925,-0.353
1775850908961,-0.178,-0.921,-0.354
1775850908981,-0.176,-0.922,-0.355
1775850909000,-0.178,-0.924,-0.351
1775850909020,-0.174,-0.926,-0.346
1775850909040,-0.174,-0.926,-0.342
1775850909060,-0.176,-0.925,-0.339
1775850909079,-0.176,-0.924,-0.336
1775850909099,-0.174,-0.924,-0.338
1775850909119,-0.177,-0.920,-0.341
1775850909139,-0.178,-0.933,-0.338
1775850909158,-0.176,-0.935,-0.337
1775850909178,-0.185,-0.908,-0.342
1775850909198,-0.182,-0.928,-0.349
1775850909218,-0.182,-0.938,-0.342
1775850909237,-0.182,-0.931,-0.340
1775850909257,-0.183,-0.925,-0.347
1775850909277,-0.184,-0.921,-0.339
1775850909297,-0.185,-0.929,-0.334
1775850909317,-0.183,-0.929,-0.334
1775850909336,-0.183,-0.921,-0.337
1775850909356,-0.183,-0.927,-0.341
1775850909376,-0.187,-0.923,-0.341
1775850909396,-0.180,-0.920,-0.348
1775850909415,-0.186,-0.929,-0.344
1775850909435,-0.186,-0.929,-0.336
1775850909455,-0.189,-0.924,-0.340
1775850909475,-0.189,-0.922,-0.344
1775850909494,-0.187,-0.925,-0.339
1775850909514,-0.186,-0.926,-0.343
1775850909534,-0.190,-0.924,-0.346
1775850909554,-0.184,-0.924,-0.349
1775850909573,-0.183,-0.929,-0.347
1775850909593,-0.185,-0.923,-0.343
1775850909613,-0.187,-0.924,-0.347
1775850909633,-0.185,-0.926,-0.346
1775850909652,-0.185,-0.927,-0.346
1775850909672,-0.181,-0.924,-0.345
1775850909692,-0.184,-0.921,-0.349
1775850909712,-0.184,-0.937,-0.345
1775850909732,-0.181,-0.927,-0.344
1775850909751,-0.183,-0.925,-0.350
1775850909771,-0.183,-0.939,-0.342
1775850909791,-0.178,-0.935,-0.338
1775850909811,-0.176,-0.910,-0.340
1775850909830,-0.175,-0.925,-0.342
1775850909850,-0.173,-0.932,-0.331
1775850909870,-0.171,-0.930,-0.337
1775850909890,-0.172,-0.925,-0.347
1775850909909,-0.174,-0.924,-0.345
1775850909929,-0.168,-0.939,-0.331
1775850909949,-0.165,-0.935,-0.333
1775850909969,-0.166,-0.927,-0.332
1775850909988,-0.164,-0.929,-0.333
1775850910008,-0.165,-0.925,-0.333
1775850910028,-0.164,-0.931,-0.338
1775850910048,-0.163,-0.923,-0.338
1775850910068,-0.159,-0.925,-0.338
1775850910087,-0.158,-0.920,-0.346
1775850910107,-0.160,-0.914,-0.365
1775850910127,-0.156,-0.916,-0.380
1775850910147,-0.163,-0.919,-0.378
1775850910166,-0.160,-0.915,-0.371
1775850910186,-0.161,-0.911,-0.372
1775850910206,-0.161,-0.909,-0.362
1775850910226,-0.159,-0.919,-0.354
1775850910245,-0.157,-0.906,-0.368
1775850910265,-0.161,-0.896,-0.386
1775850910285,-0.158,-0.890,-0.408
1775850910305,-0.163,-0.900,-0.416
1775850910324,-0.165,-0.900,-0.414
1775850910344,-0.164,-0.898,-0.426
1775850910364,-0.163,-0.899,-0.441
1775850910384,-0.169,-0.891,-0.443
1775850910403,-0.172,-0.885,-0.437
1775850910423,-0.176,-0.895,-0.435
1775850910443,-0.180,-0.888,-0.437
1775850910463,-0.181,-0.872,-0.445
1775850910483,-0.189,-0.881,-0.447
1775850910502,-0.197,-0.885,-0.446
1775850910522,-0.197,-0.887,-0.451
1775850910542,-0.202,-0.876,-0.447
1775850910562,-0.207,-0.892,-0.444
1775850910581,-0.212,-0.897,-0.436
1775850910601,-0.208,-0.898,-0.435
1775850910621,-0.205,-0.888,-0.447
1775850910641,-0.197,-0.890,-0.450
1775850910660,-0.194,-0.885,-0.445
1775850910680,-0.194,-0.877,-0.464
1775850910700,-0.188,-0.865,-0.468
1775850910720,-0.188,-0.872,-0.466
1775850910739,-0.189,-0.862,-0.481
1775850910759,-0.191,-0.852,-0.494
1775850910779,-0.187,-0.858,-0.496
1775850910799,-0.189,-0.862,-0.485
1775850910818,-0.185,-0.869,-0.494
1775850910838,-0.193,-0.861,-0.500
1775850910858,-0.186,-0.873,-0.491
1775850910878,-0.186,-0.878,-0.479
1775850910898,-0.180,-0.867,-0.480
1775850910917,-0.170,-0.866,-0.481
1775850910937,-0.169,-0.857,-0.466
1775850910957,-0.168,-0.843,-0.472
1775850910977,-0.169,-0.840,-0.488
1775850910996,-0.167,-0.842,-0.493
1775850911016,-0.169,-0.842,-0.479
1775850911036,-0.172,-0.847,-0.484
1775850911056,-0.181,-0.842,-0.485
1775850911075,-0.187,-0.869,-0.460
1775850911095,-0.199,-0.876,-0.441
1775850911115,-0.208,-0.858,-0.454
1775850911135,-0.207,-0.876,-0.458
1775850911154,-0.214,-0.879,-0.439
1775850911174,-0.216,-0.868,-0.448
