absolute_timestamp,accel_x,accel_y,accel_z
1144785361.774,0.037764,-0.711126,-1.061451
1144785361.785,0.108386,-0.762012,-1.209715
1144785361.794,0.492889,-0.186613,-1.279945
1144785361.805,0.802845,0.717585,-1.279945
1144785361.815,1.034331,1.876211,-1.225322
1144785361.825,1.155959,3.136608,-1.100468
1144785361.835,1.069642,3.512379,-0.819547
1144785361.845,0.606670,2.181524,-0.952205
1144785361.855,0.559588,2.443781,-0.831253
1144785361.865,0.390878,2.666895,-0.811744
1144785361.875,0.324179,2.576866,-0.686890
1144785361.885,0.206474,2.056268,-0.569840
1144785361.895,-0.048553,1.238184,-0.464495
1144785361.905,-0.264345,0.134358,-0.382560
1144785361.916,-0.558607,-1.114297,-0.355248
1144785361.925,-0.833252,-2.351209,-0.390363
1144785361.935,-1.064738,-3.396320,-0.593250
1144785361.945,-1.178519,-4.065662,-0.846859
1144785361.955,-1.033350,-4.265290,-1.135583
1144785361.965,-0.664542,-3.928662,-1.400897
1144785361.975,-0.178028,-3.094921,-1.595981
1144785361.985,0.343796,-1.893238,-1.646703
1144785361.995,0.802845,-0.444955,-1.584276
1144785362.004,1.136341,1.105098,-1.408701
1144785362.014,1.308975,2.561209,-1.264339
1144785362.025,1.289358,3.657207,-1.139485
1144785362.035,1.144188,4.252177,-1.022435
1144785362.045,0.897008,4.228691,-0.893679
1144785362.055,0.598823,3.614150,-0.737612
1144785362.065,0.300638,2.435952,-0.558135
1144785362.075,-0.040706,0.948527,-0.444986
1144785362.086,-0.374203,-0.566298,-0.370854
1144785362.095,-0.688082,-2.100695,-0.366953
1144785362.105,-0.947033,-3.286720,-0.546430
1144785362.115,-1.088279,-4.010862,-0.932696
1144785362.125,-1.001962,-4.218319,-1.268240
1144785362.135,-0.711623,-4.014776,-1.525751
1144785362.145,-0.276116,-3.349349,-1.709130
1144785362.155,0.194703,-2.253352,-1.794967
1144785362.165,0.665522,-0.852040,-1.802770
1144785362.175,1.053948,0.615814,-1.615490
1144785362.185,1.269740,1.989725,-1.389192
1144785362.194,1.250123,3.257951,-1.237027
1144785362.205,1.053948,4.189548,-1.104370
1144785362.215,0.791074,4.584890,-0.967811
1144785362.225,0.485042,4.357862,-0.870269
