absolute_timestamp,accel_x,accel_y,accel_z
1775850913776831668,1.076770,3.665804,5.771488
1775850913778993178,0.914058,3.589234,5.627919
1775850913781153907,0.751346,3.574877,5.560920
1775850913783314532,0.607777,3.637090,5.594419
1775850913785475262,0.488136,3.641876,5.670990
1775850913787635939,0.421137,3.646662,5.627919
1775850913789796616,0.368495,3.761517,5.551349
1775850913791957293,0.325424,3.895515,5.536992
1775850913794117970,0.287139,4.058227,5.618348
1775850913796278699,0.258425,4.235296,5.714060
1775850913798439376,0.220140,4.441079,5.862415
1775850913800600053,0.191426,4.661219,5.996414
1775850913802760678,0.143569,4.857430,6.144769
1775850913804921407,0.133998,5.096712,6.336195
1775850913807082084,0.090927,5.273781,6.546763
1775850913809242762,0.076570,5.484350,6.766902
1775850913811403439,0.052642,5.675776,7.006185
1775850913813564116,0.038285,5.838487,7.240681
1775850913815724845,0.019143,5.991628,7.436893
1775850913817885522,-0.009571,6.135197,7.628319
1775850913820046199,-0.038285,6.254838,7.795816
1775850913822206876,-0.086142,6.350551,7.925029
1775850913824367553,-0.100499,6.427122,8.020741
1775850913826528230,-0.133998,6.484550,8.063812
1775850913828688959,-0.129212,6.537191,8.097312
1775850913830849637,-0.143569,6.546763,8.092526
1775850913833010314,-0.133998,6.551548,8.106883
1775850913835170991,-0.110070,6.537191,8.092526
1775850913837331668,-0.071785,6.532406,8.111669
1775850913839492345,-0.043071,6.508478,8.121240
1775850913841653022,0.014357,6.455835,8.145168
1775850913843813699,0.057428,6.427122,8.154739
1775850913845974376,0.090927,6.355337,8.183454
1775850913848135053,0.138784,6.297909,8.202596
1775850913850295730,0.177069,6.221339,8.221739
1775850913852456459,0.181855,6.144769,8.269595
1775850913854617137,0.186640,6.072984,8.303095
1775850913856777814,0.224925,5.972486,8.346166
1775850913858938491,0.215354,5.881558,8.374879
1775850913861099220,0.220140,5.790631,8.441878
1775850913863259845,0.220140,5.680561,8.470592
1775850913865420574,0.234497,5.594419,8.528020
1775850913867581251,0.229711,5.503492,8.528020
