absolute_timestamp,gyro_x,gyro_y,gyro_z
1775857194650,-0.041,0.041,0.031
1775857194670,-0.027,0.053,0.023
1775857194690,-0.011,0.058,0.010
1775857194710,0.004,0.061,-0.001
1775857194729,0.018,0.064,-0.012
1775857194749,0.029,0.063,-0.020
1775857194769,0.038,0.061,-0.025
1775857194789,0.043,0.058,-0.027
1775857194808,0.045,0.057,-0.026
1775857194828,0.044,0.054,-0.023
1775857194848,0.041,0.053,-0.017
1775857194868,0.041,0.052,-0.010
1775857194887,0.041,0.052,-0.005
1775857194907,0.039,0.054,0.003
1775857194927,0.036,0.057,0.010
1775857194947,0.030,0.060,0.017
1775857194966,0.024,0.065,0.017
1775857194986,0.029,0.063,0.012
1775857195006,0.036,0.058,0.001
1775857195026,0.044,0.052,-0.003
1775857195046,0.045,0.048,-0.005
1775857195065,0.044,0.043,-0.010
1775857195085,0.042,0.038,-0.015
1775857195105,0.035,0.038,-0.017
1775857195125,0.028,0.041,-0.017
1775857195144,0.027,0.039,-0.018
1775857195164,0.025,0.037,-0.018
1775857195184,0.023,0.037,-0.015
1775857195204,0.022,0.036,-0.013
1775857195223,0.020,0.035,-0.009
1775857195243,0.021,0.037,-0.002
1775857195263,0.024,0.039,-0.001
1775857195283,0.024,0.041,-0.004
1775857195302,0.023,0.046,-0.005
1775857195322,0.025,0.052,-0.005
1775857195342,0.027,0.055,-0.008
1775857195362,0.028,0.058,-0.013
1775857195381,0.028,0.061,-0.016
1775857195401,0.027,0.064,-0.016
1775857195421,0.026,0.067,-0.018
1775857195441,0.027,0.067,-0.020
1775857195460,0.028,0.065,-0.021
1775857195480,0.028,0.064,-0.020
1775857195500,0.026,0.063,-0.019
1775857195520,0.025,0.062,-0.015
1775857195539,0.025,0.061,-0.011
1775857195559,0.026,0.061,-0.010
1775857195579,0.028,0.060,-0.009
1775857195599,0.031,0.059,-0.010
1775857195618,0.036,0.059,-0.008
1775857195638,0.035,0.063,-0.008
1775857195658,0.036,0.064,-0.015
1775857195678,0.037,0.064,-0.024
1775857195698,0.034,0.063,-0.030
1775857195717,0.032,0.065,-0.035
1775857195737,0.028,0.063,-0.042
1775857195757,0.025,0.056,-0.048
1775857195777,0.023,0.052,-0.051
1775857195796,0.022,0.051,-0.052
1775857195816,0.021,0.047,-0.055
1775857195836,0.020,0.045,-0.058
1775857195856,0.018,0.044,-0.064
