time,seconds_elapsed,activity
1773150802153000000,0.074,stationary
1773150802531000000,0.452,unknown
1773150803182000000,1.103000244140625,unknown
1773150804137000000,2.058,unknown
1773150805755000000,3.676,unknown
1773150808633000000,6.554,unknown
1773150813468000000,11.389,unknown
1773150818603000000,16.524,walking
1773150826323000000,24.244,walking
1773150828227000000,26.148,stationary
1773150828548000000,26.469,walking
1773150830797000000,28.718,walking
1773150831452000000,29.373,walking
1773150834027000000,31.948,walking
1773150839471000000,37.392,walking
1773150841741000000,39.662,walking
