time,seconds_elapsed,altitude,speedAccuracy,bearingAccuracy,latitude,altitudeAboveMeanSeaLevel,bearing,horizontalAccuracy,verticalAccuracy,longitude,speed
1773149329183814100,-8.360185791015626,129.91800108593418,-1,-1,30.28147689645945,156.36861410778477,-1,9.628122678868436,30,-97.73230707759163,-1
1773149337632596000,0.088595947265625,129.91800108593418,-1,-1,30.28147689645945,156.36861410778477,-1,9.628122678868436,30,-97.73230707759163,-1
1773149337638132000,0.094132080078125,129.91800108593418,-1,-1,30.281476881709903,156.36861410778477,-1,16.202644023540515,30,-97.7323070068379,-1
1773149337850465000,0.306465087890625,129.9218558375211,-1,-1,30.28147688166373,156.37246885937168,-1,16.203619170856314,30.000000000491426,-97.73230700689358,-1
1773149342976754000,5.43275390625,129.87732080753426,-1,-1,30.281427351783012,156.32793382938485,-1,17.27077416898373,30,-97.73237452421517,-1
1773149348569692200,11.025692138671875,129.87732080753426,-1,-1,30.281418244696294,156.32793382938485,-1,17.106157604459167,30,-97.73238693124114,-1
1773149349057284900,11.513284912109375,129.87732080753426,-1,-1,30.28141815135674,156.32793382938485,-1,17.193858752883703,30,-97.73238705840215,-1
1773149354566965000,17.022965087890626,129.87732080753426,-1,-1,30.281413643142834,156.32793382938485,-1,17.897747005787174,30,-97.73239320016064,-1
1773149355069466000,17.525466064453123,129.87732080753426,-1,-1,30.281413582868623,156.32793382938485,-1,17.99071138834836,30,-97.73239328227511,-1
1773149360570054100,23.02605419921875,129.87732080753426,-1,-1,30.2814118579804,156.32793382938485,-1,17.352491049964655,30,-97.73239563217402,-1
1773149361094712000,23.550712158203126,129.87732080753426,-1,-1,30.28141183656986,156.32793382938485,-1,17.452188909939608,30,-97.73239566134262,-1
