time,seconds_elapsed,z,y,x
1773149337658315500,0.1143154296875,-27.49419593811035,-2.7712554931640625,-24.75885009765625
1773149337668351500,0.1243515625,-28.263933181762695,-2.1658782958984375,-23.833534240722656
1773149337678387700,0.1343876953125,-29.38421058654785,-1.8057403564453125,-23.23210906982422
1773149337688423700,0.144423583984375,-29.812211990356445,-1.460968017578125,-22.590744018554688
1773149337698460700,0.154460693359375,-30.307035446166992,-1.1542739868164062,-22.29198455810547
1773149337708496600,0.16449658203125,-30.938770294189453,-1.1039352416992188,-21.802597045898438
1773149337718532600,0.17453271484375,-31.518213272094727,-1.0872802734375,-21.239112854003906
1773149337728568600,0.184568603515625,-32.06077575683594,-1.3276824951171875,-20.6341552734375
1773149337738604500,0.1946044921875,-32.662925720214844,-1.83001708984375,-19.88140106201172
1773149337748640500,0.204640625,-33.253150939941406,-2.0742111206054688,-19.346817016601562
1773149337758676500,0.214676513671875,-33.34712219238281,-2.2971115112304688,-18.826507568359375
1773149337768712400,0.22471240234375,-33.34712219238281,-2.2971115112304688,-18.826507568359375
1773149337778748400,0.23474853515625,-33.7193603515625,-2.5794601440429688,-18.382980346679688
1773149337788784400,0.244784423828125,-34.162506103515625,-2.9121856689453125,-17.952651977539062
1773149337798820600,0.254820556640625,-34.581878662109375,-3.0328598022460938,-17.443397521972656
1773149337808856600,0.264856689453125,-34.85636520385742,-2.9614410400390625,-17.12805938720703
1773149337818893300,0.274893310546875,-34.759613037109375,-2.9090347290039062,-16.67169189453125
1773149337828929500,0.284929443359375,-34.81708526611328,-2.8432693481445312,-16.5987548828125
1773149337838965500,0.294965576171875,-34.96320343017578,-3.061492919921875,-16.20575714111328
1773149337849001500,0.30500146484375,-35.220130920410156,-3.2190322875976562,-15.863395690917969
1773149337859037700,0.31503759765625,-35.74480438232422,-3.4228744506835938,-15.372161865234375
1773149337869073700,0.32507373046875,-35.93914794921875,-3.275390625,-15.022293090820312
1773149337879109600,0.335109619140625,-35.990760803222656,-3.39044189453125,-14.878379821777344
1773149337889145600,0.3451455078125,-35.888389587402344,-3.4342041015625,-15.065498352050781
1773149337899181600,0.355181640625,-35.90228271484375,-3.7082061767578125,-15.219459533691406
1773149337909217500,0.365217529296875,-35.81951141357422,-3.9674530029296875,-15.420120239257812
1773149337919253500,0.37525341796875,-35.634613037109375,-3.939697265625,-15.490608215332031
1773149337929289500,0.38528955078125,-35.697349548339844,-3.975250244140625,-15.679000854492188
1773149337939326500,0.395326416015625,-35.624725341796875,-3.9618148803710938,-15.890365600585938
1773149337949362400,0.405362548828125,-35.55146026611328,-3.9108657836914062,-16.27527618408203
1773149337959398400,0.4153984375,-35.153263092041016,-3.7863388061523438,-16.622825622558594
1773149337969434600,0.4254345703125,-34.827171325683594,-3.5578842163085938,-17.26470184326172
1773149337979470600,0.435470703125,-34.522830963134766,-3.3018875122070312,-17.827499389648438
1773149337989506600,0.445506591796875,-34.14045715332031,-3.2119140625,-18.481101989746094
1773149337999542500,0.45554248046875,-33.605674743652344,-2.7166748046875,-19.204833984375
1773149338009578500,0.46557861328125,-32.62799072265625,-2.642486572265625,-19.819656372070312
1773149338019614500,0.475614501953125,-31.914121627807617,-2.5804214477539062,-20.76837921142578
1773149338029650400,0.485650390625,-31.352760314941406,-2.4608230590820312,-21.63813018798828
1773149338039687700,0.495687744140625,-31.12389373779297,-2.4873580932617188,-22.363296508789062
1773149338049723600,0.5057236328125,-30.742660522460938,-2.6826400756835938,-22.712966918945312
1773149338059759600,0.515759521484375,-30.360843658447266,-2.9605484008789062,-22.80231475830078
1773149338069795600,0.525795654296875,-30.251420974731445,-3.2983169555664062,-23.06591033935547
1773149338079831600,0.53583154296875,-30.174116134643555,-3.668731689453125,-23.16759490966797
1773149338089867500,0.545867431640625,-30.05533218383789,-3.8219680786132812,-23.28931427001953
1773149338099903500,0.555903564453125,-29.989234924316406,-4.072357177734375,-23.51972198486328
1773149338109939500,0.565939453125,-29.500566482543945,-4.3849029541015625,-23.614784240722656
1773149338119975700,0.5759755859375,-29.441184997558594,-4.769432067871094,-23.81928253173828
1773149338130011600,0.58601171875,-29.3475341796875,-5.1664886474609375,-23.761322021484375
1773149338140048400,0.59604833984375,-29.360570907592773,-5.596893310546875,-23.74493408203125
1773149338150084600,0.606084716796875,-29.246105194091797,-5.8812408447265625,-23.76080322265625
1773149338160120600,0.61612060546875,-29.066858291625977,-6.179901123046875,-23.83531951904297
1773149338170156500,0.626156494140625,-28.961679458618164,-6.373321533203125,-23.963401794433594
1773149338180192500,0.636192626953125,-28.864282608032227,-6.591224670410156,-24.028175354003906
1773149338190228500,0.646228515625,-28.8325138092041,-6.738838195800781,-24.249000549316406
1773149338200264400,0.656264404296875,-28.65367317199707,-6.9867706298828125,-24.09087371826172
1773149338210300400,0.666300537109375,-28.33476448059082,-7.01031494140625,-24.20690155029297
1773149338220336400,0.67633642578125,-28.39503288269043,-6.99432373046875,-24.36290740966797
1773149338230372400,0.686372314453125,-28.419347763061523,-6.9731597900390625,-24.32379913330078
1773149338240409600,0.69640966796875,-28.529651641845703,-6.889686584472656,-24.260406494140625
1773149338250445600,0.706445556640625,-27.98528289794922,-6.779365539550781,-24.21819305419922
1773149338260481500,0.7164814453125,-27.983871459960938,-6.62701416015625,-24.447845458984375
1773149338270517500,0.726517578125,-27.863994598388672,-6.469169616699219,-24.853256225585938
1773149338280553500,0.736553466796875,-27.720182418823242,-6.3103485107421875,-25.095230102539062
1773149338290589700,0.746589599609375,-27.53738784790039,-6.115882873535156,-25.36101531982422
1773149338300625700,0.756625732421875,-27.442243576049805,-6.323814392089844,-25.045501708984375
1773149338310661600,0.76666162109375,-27.56123161315918,-6.5503692626953125,-24.67412567138672
1773149338320698600,0.77669873046875,-28.290729522705078,-6.879661560058594,-24.353660583496094
1773149338330734600,0.786734619140625,-28.959693908691406,-6.861091613769531,-23.800811767578125
1773149338340770600,0.7967705078125,-29.935012817382812,-6.978759765625,-23.10430908203125
1773149338350802000,0.806802001953125,-30.813261032104492,-6.986457824707031,-22.041213989257812
1773149338360838000,0.816837890625,-31.957775115966797,-6.771156311035156,-20.767898559570312
1773149338370873900,0.826873779296875,-32.958580017089844,-6.481498718261719,-19.376663208007812
1773149338380909800,0.836909912109375,-33.987464904785156,-6.016632080078125,-18.004043579101562
1773149338390945800,0.84694580078125,-34.539649963378906,-5.1800537109375,-16.695327758789062
1773149338400982000,0.85698193359375,-35.487022399902344,-4.179496765136719,-15.790458679199219
1773149338411018800,0.867018798828125,-35.88822937011719,-2.9552536010742188,-15.305290222167969
1773149338421054700,0.8770546875,-35.74944305419922,-1.4103622436523438,-15.606742858886719
1773149338431091000,0.887091064453125,-34.55048370361328,-0.05987548828125,-16.46178436279297
1773149338441127000,0.897126953125,-33.89434051513672,1.749481201171875,-17.35588836669922
1773149338451163000,0.907162841796875,-33.291099548339844,3.175262451171875,-18.24115753173828
1773149338461198800,0.91719873046875,-32.612632751464844,4.692497253417969,-18.824745178222656
1773149338471234800,0.92723486328125,-32.09260559082031,6.272453308105469,-18.647048950195312
1773149338481270800,0.937270751953125,-32.28836441040039,7.925956726074219,-17.733314514160156
1773149338491307000,0.94730712890625,-32.25625991821289,9.754196166992188,-16.51910400390625
1773149338501344000,0.957343994140625,-32.446495056152344,11.349800109863281,-15.319679260253906
1773149338511380000,0.9673798828125,-32.51351547241211,13.011085510253906,-14.025886535644531
1773149338521416000,0.977416015625,-32.684967041015625,14.292800903320312,-12.619148254394531
1773149338531452000,0.987451904296875,-33.032554626464844,14.862968444824219,-11.173294067382812
1773149338541487900,0.99748779296875,-33.06730651855469,15.167205810546875,-10.145500183105469
1773149338551523800,1.00752392578125,-33.08204650878906,15.469207763671875,-9.343177795410156
1773149338561559800,1.017559814453125,-33.43406677246094,15.944053649902344,-8.635696411132812
1773149338571596000,1.027595947265625,-33.42477035522461,16.2652587890625,-8.275161743164062
1773149338581632800,1.0376328125,-33.27234649658203,16.616439819335938,-7.694999694824219
1773149338591668700,1.047668701171875,-33.215789794921875,17.077316284179688,-7.21099853515625
1773149338601705000,1.057705078125,-33.21323776245117,17.786666870117188,-6.7161865234375
1773149338611741000,1.067740966796875,-32.57984161376953,18.370376586914062,-5.9300384521484375
1773149338621777000,1.07777685546875,-32.2714729309082,19.100982666015625,-5.338554382324219
1773149338631812900,1.087812744140625,-32.0435905456543,19.919937133789062,-4.412750244140625
