time,seconds_elapsed,activity
1773149842021000000,0.088,walking
1773149842586000000,0.652999755859375,walking
1773149843546000000,1.612999755859375,walking
1773149848373000000,6.44,walking
1773149850289000000,8.356,walking
1773149850942000000,9.009000244140625,walking
1773149853514000000,11.580999755859375,walking
1773149863786000000,21.852999755859376,walking
1773149866354000000,24.420999755859373,walking
1773149874374000000,32.441000244140625,walking
1773149880154000000,38.220999755859374,walking
1773149882028000000,40.095,walking
1773149882082000000,40.14899975585938,walking
1773149884888000000,42.955,walking
