time,seconds_elapsed,activity
1772548035729000000,0.077,unknown
1772548036712000000,1.06,unknown
1772548037020000000,1.368,unknown
1772548041850000000,6.197999755859375,walking
1772548043766000000,8.114000244140625,walking
1772548046987000000,11.335,walking
1772548055007000000,19.355,walking
1772548059841000000,24.189,walking
1772548062403000000,26.751,walking
1772548067544000000,31.892,walking
1772548070117000000,34.465,walking
1772548072683000000,37.031,walking
1772548080393000000,44.741,walking
1772548082961000000,47.309,walking
1772548085531000000,49.879,walking
1772548088108000000,52.456,walking
1772548090671000000,55.019,walking
