relative_path,exercise,person,session,ground_truth_reps,reference_reps,reference_source,finalrep_reps,plot_multi_reps,finalrep_abs_error,plot_multi_abs_error,winner,finalrep_reference_abs_error,plot_multi_reference_abs_error,reference_winner,finalrep_analyzer,plot_multi_analyzer,finalrep_error_text,plot_multi_error_text
bench\Chandler\bench-press-chandler-2026-april-11-2026-04-12_00-11-36,bench,Chandler,bench-press-chandler-2026-april-11-2026-04-12_00-11-36,,49,plot_multi_baseline,5,49,,,,44,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
bench\Spencer\BB_BENCH_1x8-2026-03-14_21-00-19,bench,Spencer,BB_BENCH_1x8-2026-03-14_21-00-19,8,8,inferred_ground_truth,7,6,1,2,FINALREP,1,2,FINALREP,FINALREP,plot_multi_accel_updated,,
bench\Spencer\DB_Bench_1x10-2026-03-14_20-56-01,bench,Spencer,DB_Bench_1x10-2026-03-14_20-56-01,10,10,inferred_ground_truth,4,5,6,5,plot_multi_accel_updated,6,5,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
lunges\Chandler\lunges-chandler-burke-2026-april-11-2026-04-12_00-15-35,lunges,Chandler,lunges-chandler-burke-2026-april-11-2026-04-12_00-15-35,,17,plot_multi_baseline,14,17,,,,3,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
lunges\Oliver\lunges_--_12_not_failure-2026-04-12_19-24-34,lunges,Oliver,lunges_--_12_not_failure-2026-04-12_19-24-34,,35,plot_multi_baseline,13,35,,,,22,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
lunges\Oliver\lunges_-_12_-_not_failure-2026-04-12_19-23-04,lunges,Oliver,lunges_-_12_-_not_failure-2026-04-12_19-23-04,,20,plot_multi_baseline,20,20,,,,0,0,tie,FINALREP,plot_multi_accel_updated,,
pullups\Oliver\pullups_--_5_failure_-2026-04-12_19-19-24,pullups,Oliver,pullups_--_5_failure_-2026-04-12_19-19-24,,7,plot_multi_baseline,4,7,,,,3,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
pullups\Oliver\pullups_--_5_failure_ish_-2026-04-12_19-10-45,pullups,Oliver,pullups_--_5_failure_ish_-2026-04-12_19-10-45,,14,plot_multi_baseline,17,14,,,,3,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
pushups\Abhinav\1,pushups,Abhinav,1,15,15,manual_person_rule,15,8,0,7,FINALREP,0,7,FINALREP,FINALREP,plot_multi_accel_updated,,
pushups\Abhinav\2,pushups,Abhinav,2,15,15,manual_person_rule,16,15,1,0,plot_multi_accel_updated,1,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
pushups\Chandler\pushupa-chandler-2026-april-11-2026-04-12_00-13-17,pushups,Chandler,pushupa-chandler-2026-april-11-2026-04-12_00-13-17,,19,plot_multi_baseline,19,19,,,,0,0,tie,FINALREP,plot_multi_accel_updated,,
pushups\Oliver\pushups_--_8_to_failure-2026-04-12_18-53-09,pushups,Oliver,pushups_--_8_to_failure-2026-04-12_18-53-09,,9,plot_multi_baseline,8,9,,,,1,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
pushups\Oliver\pushups_--_9_failure-2026-04-12_19-01-34,pushups,Oliver,pushups_--_9_failure-2026-04-12_19-01-34,,14,plot_multi_baseline,16,14,,,,2,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
pushups\Salvador\1,pushups,Salvador,1,15,15,manual_person_rule,7,15,8,0,plot_multi_accel_updated,8,0,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
pushups\Salvador\2,pushups,Salvador,2,15,15,manual_person_rule,11,10,4,5,FINALREP,4,5,FINALREP,FINALREP,plot_multi_accel_updated,,
situps\Abhinav\1,situps,Abhinav,1,15,15,manual_person_rule,6,14,9,1,plot_multi_accel_updated,9,1,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
situps\Salvador\1,situps,Salvador,1,15,15,manual_person_rule,19,14,4,1,plot_multi_accel_updated,4,1,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
situps\Salvador\2,situps,Salvador,2,15,15,manual_person_rule,22,13,7,2,plot_multi_accel_updated,7,2,plot_multi_accel_updated,FINALREP,plot_multi_accel_updated,,
squats\Abhinav\1,squats,Abhinav,1,15,15,manual_person_rule,17,2,2,13,FINALREP,2,13,FINALREP,FINALREP,plot_multi_accel_updated,,
